t (Gyr) =   0.0005
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.040  1495.   -4.31  5.00  0.105    1.000  28.104  28.104  26.289  24.527  24.036  24.002  20.014  23.941  20.487  19.559  19.156  18.905  17.310  17.444  16.226  16.545  19.008  23.277  17.389  
 0.050  1836.   -3.96  5.10  0.104    0.957  27.312  27.312  25.534  23.469  23.265  22.442  18.851  21.835  19.412  18.535  17.734  17.536  16.374  16.522  15.385  15.891  18.052  21.577  16.458  
 0.060  2207.   -3.62  5.17  0.106    0.011  26.482  26.482  25.048  22.917  22.682  21.907  18.189  20.722  18.723  17.863  16.583  16.384  14.980  15.196  13.957  14.769  16.758  20.742  15.116  
 0.070  2419.   -3.43  5.20  0.110    0.000  24.199  24.199  23.207  21.031  20.711  20.143  17.163  19.283  17.670  16.834  15.102  15.105  13.778  14.052  12.972  13.685  15.700  19.474  14.097  
 0.072  2457.   -3.40  5.21  0.111    0.000  23.696  23.696  22.797  20.639  20.331  19.741  16.995  18.998  17.480  16.655  14.846  14.885  13.603  13.876  12.834  13.517  15.536  19.226  13.944  
 0.075  2508.   -3.35  5.21  0.112    0.000  23.048  23.048  22.265  20.148  19.851  19.245  16.772  18.629  17.229  16.417  14.514  14.596  13.375  13.646  12.653  13.296  15.322  18.905  13.744  
 0.080  2594.   -3.27  5.22  0.115    0.000  22.109  22.109  21.452  19.612  19.270  18.812  16.379  18.106  16.805  16.009  14.015  14.117  13.006  13.268  12.354  12.922  14.968  18.436  13.410  
 0.090  2726.   -3.13  5.22  0.122    0.000  20.548  20.548  19.883  18.262  17.971  17.433  15.502  16.994  15.869  15.125  13.172  13.328  12.421  12.633  11.842  12.294  14.334  17.329  12.829  
 0.100  2844.   -3.00  5.21  0.130    0.000  19.350  19.350  18.671  17.321  17.020  16.581  14.715  16.055  15.121  14.437  12.607  12.684  11.924  12.130  11.455  11.789  13.821  16.429  12.364  
 0.110  2929.   -2.89  5.19  0.139    0.000  18.643  18.643  17.975  16.777  16.460  16.116  14.197  15.490  14.612  13.951  12.206  12.255  11.569  11.763  11.139  11.426  13.441  15.881  12.010  
 0.130  3048.   -2.72  5.16  0.157    0.000  17.453  17.453  16.596  15.607  15.341  14.966  13.325  14.434  13.721  13.136  11.574  11.583  11.020  11.189  10.647  10.864  12.807  14.827  11.446  
 0.150  3131.   -2.58  5.13  0.175    0.000  16.633  16.633  15.593  14.743  14.527  14.094  12.667  13.632  13.043  12.519  11.119  11.097  10.621  10.769  10.284  10.454  12.325  14.033  11.027  
 0.170  3191.   -2.46  5.10  0.192    0.000  16.107  16.107  15.106  14.278  14.064  13.636  12.217  13.144  12.590  12.088  10.776  10.736  10.302  10.442   9.985  10.134  11.964  13.558  10.697  
 0.200  3260.   -2.32  5.07  0.217    0.000  15.518  15.518  14.553  13.742  13.526  13.108  11.706  12.594  12.074  11.592  10.365  10.311   9.916  10.046   9.617   9.748  11.531  13.017  10.298  
 0.300  3415.   -1.99  4.99  0.290    0.000  14.268  14.268  13.368  12.581  12.361  11.961  10.587  11.400  10.939  10.497   9.446   9.365   9.042   9.156   8.779   8.879  10.556  11.843   9.394  
 0.400  3526.   -1.73  4.91  0.366    0.000  13.394  13.394  12.516  11.730  11.503  11.121   9.773  10.536  10.110   9.693   8.747   8.656   8.372   8.476   8.131   8.215   9.817  10.989   8.704  
 0.500  3685.   -1.46  4.82  0.457    0.000  12.452  12.452  11.588  10.784  10.537  10.183   8.867   9.560   9.180   8.796   8.003   7.898   7.667   7.757   7.455   7.519   9.005  10.031   7.965  
 0.600  3969.   -1.17  4.73  0.551    0.000  11.371  11.371  10.537   9.697   9.420   9.113   7.848   8.447   8.125   7.786   7.217   7.102   6.936   7.009   6.763   6.807   8.098   8.935   7.175  
 0.700  4387.   -0.87  4.68  0.633    0.000   9.909   9.909   9.262   8.538   8.240   8.070   6.772   7.337   7.042   6.731   6.413   6.302   6.192   6.247   6.060   6.088   7.143   7.802   6.355  
 0.800  4821.   -0.61  4.63  0.714    0.004   8.343   8.343   7.983   7.412   7.172   6.978   5.943   6.415   6.178   5.918   5.686   5.595   5.509   5.553   5.408   5.422   6.307   6.822   5.637  
 0.900  5210.   -0.36  4.58  0.808    0.081   7.123   7.123   6.983   6.527   6.342   6.117   5.283   5.685   5.488   5.264   5.066   4.988   4.915   4.955   4.840   4.843   5.617   6.043   5.029  
 1.000  5574.   -0.14  4.52  0.911    0.307   6.125   6.125   6.149   5.786   5.642   5.418   4.713   5.066   4.895   4.697   4.525   4.457   4.390   4.429   4.338   4.333   5.020   5.381   4.495  
 1.100  5901.    0.06  4.45  1.032    0.574   5.309   5.309   5.430   5.136   5.020   4.813   4.196   4.510   4.361   4.183   4.029   3.970   3.908   3.946   3.875   3.863   4.478   4.790   4.006  
 1.200  6181.    0.25  4.38  1.171    0.770   4.647   4.647   4.812   4.570   4.474   4.288   3.738   4.020   3.886   3.725   3.587   3.534   3.478   3.514   3.458   3.439   3.996   4.270   3.569  
 1.300  6453.    0.43  4.32  1.308    0.880   4.094   4.094   4.265   4.065   3.985   3.820   3.331   3.582   3.463   3.319   3.195   3.148   3.099   3.132   3.089   3.065   3.566   3.806   3.182  
 1.400  6750.    0.58  4.27  1.430    0.938   3.614   3.614   3.768   3.602   3.536   3.393   2.968   3.185   3.083   2.956   2.849   2.808   2.767   2.796   2.766   2.739   3.177   3.382   2.840  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   0.5000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.040  1388.   -4.45  5.01  0.103    1.000  28.568  28.568  26.772  25.108  24.441  25.079  21.012  25.051  21.387  20.448  20.173  19.709  17.814  17.794  16.383  16.824  19.332  24.316  17.653  
 0.050  1698.   -4.12  5.13  0.101    0.947  27.647  27.647  25.831  23.858  23.635  22.874  19.174  22.354  19.720  18.831  18.121  17.939  16.807  16.969  15.923  16.246  18.530  22.011  16.968  
 0.060  2082.   -3.76  5.20  0.102    0.001  26.760  26.760  25.086  22.976  22.696  22.028  18.378  21.296  18.962  18.085  17.108  16.895  15.476  15.650  14.375  15.151  17.169  21.057  15.527  
 0.070  2335.   -3.53  5.24  0.105    0.000  23.958  23.958  23.799  21.713  21.406  20.822  17.510  19.892  18.029  17.175  15.683  15.618  14.213  14.443  13.255  14.035  16.045  19.953  14.418  
 0.072  2378.   -3.49  5.25  0.106    0.000  24.358  24.358  23.590  21.430  21.108  20.546  17.357  19.634  17.883  17.036  15.428  15.392  14.017  14.276  13.146  13.883  15.903  19.752  14.288  
 0.075  2435.   -3.44  5.25  0.107    0.000  24.101  24.101  23.114  20.922  20.607  20.026  17.129  19.236  17.639  16.805  15.066  15.079  13.761  14.034  12.969  13.657  15.686  19.422  14.087  
 0.080  2539.   -3.34  5.25  0.111    0.000  22.819  22.819  22.057  20.005  19.696  19.129  16.669  18.492  17.122  16.316  14.395  14.481  13.292  13.560  12.594  13.204  15.244  18.781  13.673  
 0.090  2696.   -3.18  5.25  0.118    0.000  20.982  20.982  20.319  18.621  18.322  17.786  15.745  17.308  16.104  15.337  13.364  13.541  12.584  12.798  11.967  12.455  14.500  17.637  12.979  
 0.100  2828.   -3.03  5.23  0.127    0.000  19.543  19.543  18.862  17.466  17.167  16.708  14.847  16.200  15.253  14.563  12.715  12.798  12.019  12.228  11.542  11.886  13.922  16.570  12.459  
 0.110  2921.   -2.91  5.21  0.137    0.000  18.750  18.750  18.082  16.866  16.547  16.201  14.267  15.570  14.683  14.019  12.266  12.317  11.622  11.818  11.189  11.480  13.499  15.961  12.064  
 0.130  3046.   -2.72  5.16  0.156    0.000  17.498  17.498  16.650  15.651  15.381  15.010  13.357  14.473  13.755  13.167  11.600  11.610  11.043  11.212  10.668  10.887  12.833  14.866  11.469  
 0.150  3130.   -2.58  5.13  0.175    0.000  16.646  16.646  15.604  14.754  14.537  14.104  12.677  13.642  13.053  12.529  11.128  11.106  10.629  10.778  10.292  10.463  12.334  14.043  11.035  
 0.170  3191.   -2.46  5.10  0.192    0.000  16.112  16.112  15.111  14.283  14.068  13.640  12.221  13.149  12.594  12.092  10.781  10.741  10.306  10.446   9.989  10.138  11.968  13.562  10.701  
 0.200  3260.   -2.32  5.07  0.217    0.000  15.520  15.520  14.555  13.744  13.528  13.110  11.708  12.596  12.075  11.594  10.367  10.313   9.917  10.048   9.618   9.750  11.533  13.019  10.300  
 0.300  3415.   -1.99  4.99  0.290    0.000  14.268  14.268  13.367  12.580  12.361  11.961  10.587  11.400  10.939  10.497   9.446   9.365   9.042   9.155   8.779   8.879  10.556  11.843   9.394  
 0.400  3524.   -1.73  4.91  0.367    0.000  13.390  13.390  12.511  11.727  11.500  11.117   9.770  10.534  10.107   9.689   8.741   8.651   8.366   8.470   8.124   8.208   9.812  10.987   8.698  
 0.500  3682.   -1.46  4.82  0.457    0.000  12.456  12.456  11.591  10.787  10.541  10.186   8.870   9.564   9.184   8.799   8.003   7.898   7.666   7.757   7.454   7.519   9.006  10.035   7.965  
 0.600  3968.   -1.17  4.73  0.552    0.000  11.369  11.369  10.534   9.695   9.418   9.110   7.846   8.445   8.123   7.784   7.215   7.099   6.934   7.006   6.760   6.804   8.096   8.933   7.173  
 0.700  4386.   -0.87  4.68  0.634    0.000   9.909   9.909   9.261   8.537   8.239   8.069   6.771   7.336   7.041   6.729   6.411   6.300   6.190   6.245   6.058   6.086   7.142   7.801   6.353  
 0.800  4821.   -0.60  4.63  0.715    0.003   8.341   8.341   7.980   7.409   7.169   6.975   5.941   6.412   6.175   5.915   5.683   5.592   5.506   5.550   5.405   5.419   6.305   6.819   5.634  
 0.900  5211.   -0.36  4.57  0.810    0.080   7.116   7.116   6.976   6.521   6.336   6.111   5.277   5.679   5.482   5.258   5.061   4.982   4.909   4.949   4.834   4.837   5.611   6.037   5.023  
 1.000  5576.   -0.14  4.52  0.913    0.307   6.115   6.115   6.141   5.778   5.634   5.410   4.706   5.059   4.888   4.690   4.518   4.450   4.383   4.422   4.332   4.326   5.012   5.373   4.489  
 1.100  5904.    0.07  4.45  1.035    0.574   5.298   5.298   5.419   5.126   5.010   4.803   4.187   4.500   4.352   4.174   4.020   3.961   3.899   3.937   3.867   3.854   4.468   4.781   3.997  
 1.200  6182.    0.26  4.38  1.176    0.770   4.636   4.636   4.801   4.559   4.463   4.277   3.727   4.009   3.876   3.714   3.576   3.523   3.468   3.503   3.447   3.428   3.985   4.259   3.558  
 1.300  6451.    0.43  4.31  1.316    0.880   4.082   4.082   4.253   4.052   3.973   3.807   3.318   3.569   3.451   3.306   3.182   3.135   3.086   3.119   3.076   3.052   3.553   3.793   3.169  
 1.400  6742.    0.59  4.26  1.444    0.938   3.602   3.602   3.755   3.588   3.522   3.378   2.952   3.170   3.068   2.940   2.833   2.792   2.750   2.780   2.749   2.722   3.162   3.367   2.823  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   0.6250
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.040  1336.   -4.53  5.03  0.101    1.000  28.849  28.849  27.090  25.416  24.651  25.735  21.911  25.910  22.217  21.268  20.875  20.259  18.292  18.088  16.536  17.124  19.569  24.914  17.850  
 0.050  1555.   -4.29  5.14  0.099    0.938  28.098  28.098  26.278  24.434  24.062  23.724  19.857  23.476  20.354  19.439  18.892  18.669  17.292  17.436  16.305  16.602  19.004  22.937  17.413  
 0.060  1908.   -3.94  5.23  0.098    0.000  27.110  27.110  25.388  23.284  23.004  22.356  18.788  21.926  19.372  18.486  17.701  17.506  16.196  16.344  15.125  15.729  17.857  21.554  16.237  
 0.070  2248.   -3.63  5.28  0.101    0.000  25.412  25.412  24.607  22.517  22.228  21.601  17.977  20.629  18.521  17.653  16.395  16.249  14.807  15.011  13.765  14.555  16.577  20.554  14.937  
 0.072  2301.   -3.58  5.28  0.102    0.000  23.988  23.988  24.050  21.993  21.689  21.104  17.653  20.184  18.170  17.307  15.942  15.853  14.413  14.610  13.362  14.173  16.188  20.161  14.549  
 0.075  2370.   -3.52  5.28  0.103    0.000  24.451  24.451  23.696  21.533  21.210  20.654  17.410  19.752  17.943  17.092  15.531  15.486  14.096  14.346  13.200  13.937  15.967  19.834  14.348  
 0.080  2485.   -3.41  5.28  0.107    0.000  23.516  23.516  22.630  20.420  20.132  19.491  16.935  18.883  17.418  16.601  14.769  14.829  13.567  13.840  12.822  13.468  15.507  19.118  13.922  
 0.090  2671.   -3.21  5.27  0.115    0.000  21.343  21.343  20.676  18.932  18.618  18.110  15.933  17.549  16.311  15.535  13.563  13.722  12.722  12.948  12.094  12.600  14.649  17.880  13.119  
 0.100  2817.   -3.05  5.24  0.126    0.000  19.664  19.664  18.981  17.558  17.259  16.790  14.928  16.291  15.334  14.641  12.782  12.868  12.078  12.289  11.595  11.945  13.984  16.659  12.518  
 0.110  2917.   -2.92  5.21  0.136    0.000  18.804  18.804  18.135  16.911  16.591  16.243  14.302  15.610  14.719  14.053  12.296  12.348  11.649  11.846  11.214  11.507  13.528  16.002  12.092  
 0.130  3045.   -2.73  5.17  0.156    0.000  17.511  17.511  16.667  15.664  15.394  15.024  13.367  14.485  13.765  13.176  11.607  11.618  11.050  11.220  10.675  10.894  12.841  14.878  11.476  
 0.150  3130.   -2.58  5.13  0.174    0.000  16.649  16.649  15.607  14.756  14.540  14.106  12.679  13.644  13.055  12.531  11.130  11.109  10.631  10.780  10.294  10.465  12.336  14.045  11.037  
 0.170  3191.   -2.46  5.10  0.192    0.000  16.114  16.114  15.113  14.284  14.070  13.641  12.222  13.150  12.595  12.093  10.782  10.742  10.308  10.447   9.990  10.139  11.970  13.563  10.702  
 0.200  3260.   -2.32  5.07  0.217    0.000  15.520  15.520  14.556  13.744  13.528  13.111  11.708  12.597  12.076  11.594  10.368  10.313   9.918  10.048   9.619   9.751  11.534  13.020  10.300  
 0.300  3415.   -1.99  4.99  0.290    0.000  14.267  14.267  13.366  12.579  12.360  11.960  10.586  11.399  10.938  10.496   9.445   9.364   9.041   9.155   8.778   8.878  10.555  11.842   9.393  
 0.400  3522.   -1.72  4.91  0.369    0.000  13.386  13.386  12.506  11.723  11.495  11.113   9.765  10.530  10.103   9.684   8.734   8.644   8.359   8.463   8.117   8.201   9.806  10.983   8.691  
 0.500  3681.   -1.46  4.81  0.458    0.000  12.456  12.456  11.591  10.788  10.542  10.187   8.871   9.565   9.184   8.799   8.002   7.897   7.665   7.755   7.452   7.517   9.005  10.036   7.963  
 0.600  3969.   -1.17  4.73  0.552    0.000  11.365  11.365  10.530   9.691   9.414   9.106   7.842   8.441   8.119   7.780   7.211   7.096   6.930   7.002   6.757   6.800   8.092   8.929   7.169  
 0.700  4385.   -0.87  4.68  0.635    0.000   9.908   9.908   9.260   8.536   8.237   8.067   6.769   7.334   7.039   6.727   6.409   6.297   6.187   6.243   6.055   6.084   7.139   7.799   6.351  
 0.800  4821.   -0.60  4.63  0.716    0.003   8.335   8.335   7.975   7.405   7.165   6.971   5.936   6.408   6.171   5.911   5.679   5.588   5.502   5.546   5.401   5.415   6.300   6.814   5.630  
 0.900  5213.   -0.36  4.57  0.811    0.080   7.107   7.107   6.969   6.514   6.329   6.104   5.271   5.673   5.476   5.252   5.055   4.976   4.904   4.944   4.829   4.831   5.605   6.031   5.017  
 1.000  5580.   -0.14  4.51  0.916    0.307   6.102   6.102   6.129   5.767   5.624   5.400   4.697   5.049   4.879   4.681   4.509   4.442   4.375   4.414   4.323   4.318   5.003   5.363   4.480  
 1.100  5907.    0.07  4.44  1.040    0.574   5.285   5.285   5.406   5.114   4.998   4.791   4.176   4.489   4.340   4.163   4.009   3.950   3.889   3.926   3.856   3.843   4.457   4.769   3.986  
 1.200  6183.    0.26  4.37  1.183    0.770   4.621   4.621   4.785   4.544   4.448   4.262   3.713   3.994   3.861   3.700   3.562   3.509   3.454   3.489   3.433   3.414   3.971   4.245   3.544  
 1.300  6446.    0.44  4.31  1.327    0.880   4.071   4.071   4.240   4.038   3.959   3.793   3.302   3.554   3.436   3.291   3.167   3.120   3.070   3.103   3.060   3.036   3.538   3.779   3.153  
 1.400  6727.    0.59  4.25  1.462    0.938   3.589   3.589   3.741   3.573   3.506   3.362   2.933   3.152   3.049   2.921   2.812   2.772   2.729   2.759   2.728   2.701   3.144   3.351   2.803  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   0.8000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.050  1443.   -4.44  5.16  0.097    0.929  28.401  28.401  26.617  24.905  24.265  24.808  20.887  24.860  21.288  20.350  19.967  19.569  17.789  17.778  16.401  16.841  19.306  24.059  17.639  
 0.060  1716.   -4.15  5.25  0.096    0.000  27.488  27.488  25.699  23.725  23.423  22.850  19.174  22.486  19.724  18.828  18.171  17.992  16.749  16.912  15.819  16.174  18.468  22.061  16.891  
 0.070  2136.   -3.75  5.31  0.097    0.000  26.673  26.673  25.038  22.888  22.580  21.982  18.351  21.350  18.945  18.061  17.056  16.854  15.358  15.543  14.260  15.032  17.071  21.055  15.423  
 0.072  2212.   -3.69  5.31  0.098    0.000  26.429  26.429  24.983  22.873  22.579  21.960  18.207  21.011  18.780  17.905  16.752  16.570  15.114  15.321  14.075  14.836  16.877  20.856  15.236  
 0.075  2294.   -3.61  5.32  0.100    0.000  24.461  24.461  24.190  22.104  21.794  21.221  17.712  20.319  18.235  17.367  16.050  15.954  14.501  14.690  13.430  14.235  16.262  20.254  14.621  
 0.080  2436.   -3.47  5.31  0.104    0.000  24.218  24.218  23.196  20.975  20.663  20.074  17.167  19.312  17.689  16.854  15.142  15.150  13.821  14.095  13.027  13.701  15.745  19.475  14.146  
 0.090  2656.   -3.24  5.28  0.114    0.000  21.569  21.569  20.898  19.124  18.800  18.308  16.052  17.699  16.442  15.661  13.690  13.835  12.809  13.043  12.175  12.691  14.744  18.031  13.207  
 0.100  2812.   -3.06  5.25  0.125    0.000  19.723  19.723  19.039  17.603  17.304  16.830  14.967  16.335  15.374  14.679  12.815  12.902  12.106  12.318  11.621  11.973  14.014  16.702  12.546  
 0.110  2915.   -2.92  5.22  0.135    0.000  18.826  18.826  18.157  16.929  16.609  16.260  14.316  15.626  14.734  14.067  12.308  12.360  11.660  11.857  11.224  11.518  13.540  16.018  12.103  
 0.130  3045.   -2.73  5.17  0.156    0.000  17.515  17.515  16.671  15.668  15.397  15.027  13.369  14.488  13.767  13.179  11.609  11.620  11.052  11.222  10.677  10.895  12.843  14.881  11.478  
 0.150  3130.   -2.58  5.13  0.174    0.000  16.650  16.650  15.608  14.757  14.540  14.107  12.680  13.645  13.055  12.532  11.131  11.109  10.632  10.780  10.295  10.465  12.337  14.046  11.038  
 0.170  3191.   -2.46  5.10  0.192    0.000  16.114  16.114  15.113  14.285  14.070  13.642  12.223  13.150  12.596  12.094  10.782  10.742  10.308  10.447   9.990  10.139  11.970  13.564  10.703  
 0.200  3260.   -2.32  5.07  0.217    0.000  15.520  15.520  14.555  13.744  13.528  13.110  11.708  12.596  12.075  11.594  10.367  10.313   9.918  10.048   9.619   9.750  11.533  13.019  10.300  
 0.300  3415.   -1.99  4.99  0.290    0.000  14.265  14.265  13.365  12.578  12.358  11.958  10.584  11.397  10.936  10.494   9.443   9.363   9.039   9.153   8.776   8.876  10.554  11.840   9.391  
 0.400  3521.   -1.72  4.90  0.371    0.000  13.380  13.380  12.500  11.717  11.491  11.108   9.761  10.526  10.098   9.679   8.727   8.637   8.351   8.456   8.109   8.194   9.800  10.978   8.684  
 0.500  3680.   -1.46  4.81  0.459    0.000  12.456  12.456  11.590  10.787  10.541  10.186   8.870   9.565   9.184   8.799   7.999   7.895   7.662   7.753   7.449   7.514   9.004  10.035   7.961  
 0.600  3968.   -1.17  4.73  0.553    0.000  11.364  11.364  10.529   9.689   9.412   9.105   7.841   8.440   8.117   7.778   7.209   7.093   6.928   7.000   6.754   6.798   8.090   8.927   7.167  
 0.700  4386.   -0.87  4.68  0.636    0.000   9.904   9.904   9.256   8.532   8.234   8.064   6.765   7.330   7.035   6.724   6.405   6.294   6.184   6.239   6.052   6.080   7.136   7.796   6.347  
 0.800  4823.   -0.60  4.63  0.718    0.003   8.326   8.326   7.967   7.397   7.157   6.963   5.930   6.401   6.164   5.904   5.672   5.581   5.496   5.540   5.395   5.409   6.294   6.807   5.624  
 0.900  5216.   -0.36  4.57  0.813    0.079   7.095   7.095   6.958   6.505   6.320   6.095   5.263   5.665   5.468   5.244   5.047   4.969   4.896   4.936   4.821   4.824   5.597   6.022   5.010  
 1.000  5586.   -0.13  4.51  0.920    0.306   6.082   6.082   6.111   5.751   5.608   5.384   4.683   5.035   4.865   4.668   4.496   4.429   4.362   4.401   4.311   4.305   4.989   5.348   4.467  
 1.100  5910.    0.08  4.44  1.046    0.574   5.268   5.268   5.390   5.098   4.983   4.776   4.162   4.474   4.326   4.149   3.995   3.937   3.875   3.913   3.842   3.830   4.443   4.754   3.973  
 1.200  6184.    0.27  4.36  1.193    0.770   4.603   4.603   4.766   4.525   4.430   4.244   3.695   3.976   3.843   3.682   3.544   3.491   3.436   3.471   3.415   3.396   3.952   4.226   3.526  
 1.300  6442.    0.45  4.29  1.345    0.880   4.047   4.047   4.214   4.012   3.933   3.767   3.276   3.528   3.409   3.264   3.140   3.093   3.043   3.076   3.033   3.009   3.512   3.752   3.126  
 1.400  6705.    0.61  4.24  1.491    0.938   3.569   3.569   3.719   3.549   3.482   3.336   2.903   3.124   3.021   2.891   2.782   2.740   2.697   2.727   2.695   2.669   3.116   3.325   2.772  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   1.0000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.050  1383.   -4.52  5.18  0.096    0.923  28.709  28.709  26.952  25.265  24.522  25.506  21.672  25.661  22.015  21.070  20.655  20.119  18.223  18.057  16.540  17.113  19.534  24.678  17.826  
 0.060  1584.   -4.30  5.27  0.094    0.000  28.094  28.094  26.275  24.411  24.055  23.656  19.825  23.370  20.333  19.422  18.840  18.633  17.313  17.467  16.359  16.652  19.034  22.861  17.451  
 0.070  2047.   -3.85  5.33  0.094    0.000  26.875  26.875  25.186  23.115  22.789  22.249  18.527  21.666  19.128  18.239  17.362  17.161  15.711  15.878  14.608  15.319  17.395  21.296  15.755  
 0.072  2109.   -3.79  5.34  0.095    0.000  26.641  26.641  25.005  22.833  22.509  21.948  18.400  21.522  19.005  18.114  17.181  16.978  15.447  15.620  14.317  15.090  17.136  21.138  15.484  
 0.075  2243.   -3.67  5.34  0.097    0.000  25.768  25.768  24.701  22.596  22.289  21.705  18.031  20.800  18.590  17.715  16.520  16.372  14.909  15.107  13.852  14.624  16.667  20.654  15.026  
 0.080  2400.   -3.51  5.33  0.102    0.000  24.725  24.725  23.608  21.391  21.057  20.518  17.336  19.634  17.886  17.037  15.415  15.384  14.005  14.279  13.174  13.869  15.917  19.740  14.307  
 0.090  2648.   -3.25  5.29  0.113    0.000  21.687  21.687  21.014  19.222  18.895  18.409  16.113  17.776  16.511  15.727  13.756  13.894  12.854  13.092  12.217  12.738  14.793  18.109  13.252  
 0.100  2810.   -3.06  5.25  0.124    0.000  19.743  19.743  19.059  17.618  17.320  16.844  14.981  16.350  15.387  14.691  12.826  12.913  12.115  12.328  11.629  11.983  14.025  16.717  12.555  
 0.110  2915.   -2.92  5.22  0.135    0.000  18.830  18.830  18.161  16.932  16.613  16.264  14.319  15.629  14.737  14.070  12.311  12.363  11.663  11.860  11.226  11.520  13.542  16.022  12.105  
 0.130  3045.   -2.73  5.17  0.156    0.000  17.515  17.515  16.671  15.668  15.397  15.027  13.370  14.488  13.768  13.179  11.610  11.620  11.052  11.222  10.677  10.896  12.843  14.882  11.479  
 0.150  3130.   -2.58  5.13  0.174    0.000  16.650  16.650  15.608  14.757  14.540  14.107  12.680  13.645  13.055  12.532  11.131  11.109  10.632  10.780  10.295  10.465  12.337  14.046  11.038  
 0.170  3191.   -2.46  5.10  0.192    0.000  16.114  16.114  15.113  14.284  14.070  13.641  12.222  13.150  12.595  12.093  10.782  10.742  10.308  10.447   9.990  10.139  11.970  13.563  10.702  
 0.200  3261.   -2.32  5.07  0.217    0.000  15.520  15.520  14.555  13.744  13.527  13.110  11.707  12.596  12.075  11.594  10.367  10.313   9.917  10.048   9.618   9.750  11.533  13.019  10.299  
 0.300  3415.   -1.99  4.99  0.291    0.000  14.263  14.263  13.362  12.576  12.356  11.956  10.582  11.395  10.934  10.492   9.441   9.361   9.037   9.151   8.774   8.874  10.552  11.838   9.389  
 0.400  3520.   -1.72  4.90  0.372    0.000  13.376  13.376  12.495  11.713  11.487  11.104   9.757  10.523  10.094   9.675   8.722   8.632   8.346   8.451   8.104   8.188   9.795  10.974   8.679  
 0.500  3680.   -1.46  4.81  0.460    0.000  12.453  12.453  11.587  10.784  10.539  10.184   8.868   9.562   9.181   8.796   7.996   7.892   7.659   7.750   7.446   7.512   9.001  10.032   7.958  
 0.600  3967.   -1.16  4.73  0.554    0.000  11.362  11.362  10.527   9.687   9.410   9.102   7.839   8.438   8.115   7.776   7.206   7.091   6.925   6.997   6.751   6.795   8.088   8.925   7.164  
 0.700  4387.   -0.87  4.67  0.637    0.000   9.897   9.897   9.250   8.526   8.228   8.058   6.760   7.325   7.030   6.719   6.401   6.289   6.179   6.234   6.047   6.076   7.131   7.790   6.342  
 0.800  4826.   -0.60  4.63  0.719    0.002   8.315   8.315   7.957   7.388   7.149   6.954   5.923   6.394   6.157   5.897   5.666   5.575   5.490   5.534   5.389   5.403   6.287   6.799   5.618  
 0.900  5220.   -0.35  4.57  0.816    0.078   7.080   7.080   6.945   6.493   6.309   6.083   5.253   5.654   5.458   5.234   5.038   4.960   4.887   4.927   4.813   4.815   5.587   6.011   5.001  
 1.000  5592.   -0.13  4.51  0.923    0.306   6.063   6.063   6.094   5.735   5.593   5.369   4.670   5.021   4.851   4.655   4.483   4.416   4.349   4.388   4.299   4.293   4.976   5.334   4.454  
 1.100  5916.    0.09  4.43  1.054    0.574   5.243   5.243   5.366   5.075   4.961   4.754   4.141   4.453   4.305   4.128   3.975   3.917   3.855   3.893   3.823   3.810   4.422   4.732   3.953  
 1.200  6187.    0.28  4.36  1.204    0.770   4.579   4.579   4.742   4.501   4.406   4.220   3.672   3.953   3.820   3.660   3.522   3.469   3.414   3.449   3.393   3.374   3.930   4.203   3.504  
 1.300  6438.    0.46  4.28  1.363    0.880   4.023   4.023   4.188   3.986   3.906   3.740   3.249   3.501   3.382   3.237   3.113   3.066   3.016   3.049   3.005   2.982   3.485   3.726   3.099  
 1.400  6684.    0.62  4.22  1.521    0.938   3.547   3.547   3.695   3.523   3.455   3.308   2.870   3.094   2.989   2.859   2.748   2.706   2.663   2.693   2.660   2.634   3.084   3.296   2.738  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   2.0000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
