BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance

!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.010  2387.   -2.47  3.38  0.339    1.000  16.87  14.32  11.81   8.77   8.30   7.83   7.44   7.15   7.30
 0.015  2514.   -2.21  3.38  0.413    1.000  15.56  13.26  10.84   8.13   7.67   7.24   6.87   6.61   6.73
 0.020  2594.   -2.05  3.40  0.466    1.000  14.78  12.62  10.26   7.74   7.28   6.87   6.53   6.28   6.38
 0.030  2668.   -1.79  3.36  0.599    1.000  13.80  11.77   9.47   7.08   6.62   6.24   5.92   5.67   5.77
 0.040  2733.   -1.66  3.40  0.661    1.000  13.20  11.28   9.04   6.78   6.30   5.95   5.65   5.41   5.50
 0.050  2762.   -1.48  3.34  0.791    1.000  12.69  10.80   8.57   6.34   5.86   5.52   5.24   5.00   5.09
 0.060  2808.   -1.40  3.37  0.841    1.000  12.32  10.49   8.31   6.15   5.66   5.33   5.06   4.83   4.92
 0.070  2835.   -1.33  3.37  0.900    1.000  12.08  10.28   8.10   5.97   5.48   5.16   4.90   4.67   4.76
 0.072  2832.   -1.29  3.35  0.937    1.000  12.02  10.21   8.03   5.89   5.39   5.07   4.82   4.58   4.67
 0.075  2836.   -1.27  3.34  0.966    1.000  11.94  10.14   7.96   5.82   5.32   5.00   4.75   4.51   4.60
 0.080  2837.   -1.20  3.31  1.040    1.000  11.81   9.99   7.81   5.65   5.15   4.84   4.59   4.35   4.45
 0.090  2864.   -1.13  3.31  1.101    1.000  11.60   9.80   7.63   5.50   4.99   4.69   4.45   4.21   4.31
 0.100  2925.   -1.15  3.41  1.033    1.000  11.43   9.73   7.60   5.57   5.05   4.76   4.54   4.31   4.40
 0.110  2945.   -1.07  3.38  1.115    1.000  11.20   9.51   7.39   5.37   4.84   4.56   4.35   4.12   4.22
 0.130  3006.   -0.93  3.34  1.270    1.000  10.66   9.05   6.97   5.02   4.45   4.20   4.02   3.79   3.90
 0.150  3076.   -0.79  3.31  1.412    1.000  10.09   8.58   6.57   4.72   4.12   3.88   3.72   3.51   3.62
 0.170  3139.   -0.67  3.28  1.565    1.000   9.60   8.18   6.23   4.44   3.79   3.57   3.44   3.24   3.35
 0.200  3220.   -0.54  3.26  1.728    1.000   9.09   7.74   5.86   4.15   3.46   3.26   3.14   2.96   3.08
 0.300  3460.   -0.20  3.23  2.203    1.000   7.60   6.51   4.90   3.42   2.63   2.45   2.37   2.26   2.40
 0.400  3670.   -0.05  3.30  2.338    1.000   6.63   5.73   4.42   3.14   2.33   2.17   2.09   2.02   2.17
 0.500  3848.    0.07  3.36  2.444    1.000   5.83   5.05   4.02   2.88   2.10   1.96   1.88   1.85   1.99
 0.600  3987.    0.16  3.41  2.524    1.000   5.36   4.62   3.76   2.71   1.96   1.83   1.75   1.73   1.87
 0.700  4110.    0.26  3.43  2.657    1.000   5.00   4.22   3.48   2.49   1.78   1.66   1.59   1.58   1.71
 0.800  4221.    0.35  3.44  2.805    1.000   4.63   3.88   3.23   2.29   1.62   1.51   1.44   1.43   1.55
 0.900  4315.    0.43  3.45  2.944    1.000   4.34   3.61   3.01   2.11   1.48   1.37   1.30   1.29   1.41
 1.000  4397.    0.50  3.46  3.079    1.000   4.09   3.39   2.82   1.96   1.35   1.25   1.18   1.17   1.29
 1.100  4471.    0.57  3.47  3.209    1.000   3.87   3.20   2.66   1.81   1.23   1.14   1.07   1.06   1.18
 1.200  4537.    0.63  3.47  3.344    1.000   3.67   3.03   2.50   1.68   1.12   1.03   0.96   0.96   1.07
 1.300  4596.    0.68  3.47  3.469    1.000   3.49   2.87   2.36   1.56   1.02   0.93   0.87   0.86   0.97
 1.400  4647.    0.74  3.47  3.601    1.000   3.33   2.73   2.22   1.45   0.92   0.83   0.77   0.77   0.87
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0010
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.010  2345.   -2.70  3.57  0.271    1.000  17.66  15.02  12.47   9.33   8.83   8.36   7.96   7.66   7.86
 0.015  2504.   -2.42  3.59  0.326    1.000  16.12  13.80  11.37   8.66   8.19   7.76   7.39   7.12   7.26
 0.020  2598.   -2.25  3.60  0.372    1.000  15.21  13.07  10.72   8.23   7.76   7.36   7.01   6.76   6.88
 0.030  2710.   -1.98  3.58  0.467    1.000  14.02  12.08   9.84   7.57   7.10   6.73   6.41   6.18   6.27
 0.040  2779.   -1.81  3.58  0.536    1.000  13.33  11.51   9.32   7.18   6.70   6.35   6.05   5.82   5.91
 0.050  2824.   -1.65  3.54  0.628    1.000  12.80  11.03   8.87   6.78   6.29   5.96   5.68   5.45   5.54
 0.060  2864.   -1.53  3.52  0.702    1.000  12.42  10.69   8.54   6.48   5.99   5.67   5.41   5.18   5.27
 0.070  2897.   -1.41  3.50  0.781    1.000  12.10  10.38   8.25   6.21   5.71   5.41   5.16   4.93   5.02
 0.072  2896.   -1.39  3.49  0.803    1.000  12.05  10.33   8.19   6.15   5.65   5.35   5.10   4.88   4.97
 0.075  2897.   -1.36  3.48  0.829    1.000  11.98  10.26   8.12   6.08   5.58   5.28   5.03   4.80   4.90
 0.080  2898.   -1.31  3.45  0.877    1.000  11.87  10.15   8.01   5.95   5.45   5.15   4.91   4.68   4.78
 0.090  2908.   -1.23  3.43  0.959    1.000  11.66   9.93   7.80   5.75   5.24   4.94   4.71   4.48   4.58
 0.100  2936.   -1.17  3.44  1.002    1.000  11.43   9.75   7.63   5.62   5.10   4.81   4.59   4.36   4.46
 0.110  2955.   -1.10  3.41  1.079    1.000  11.21   9.54   7.43   5.43   4.90   4.63   4.42   4.19   4.29
 0.130  3012.   -0.96  3.38  1.214    1.000  10.70   9.11   7.04   5.11   4.55   4.29   4.11   3.88   3.99
 0.150  3078.   -0.85  3.37  1.327    1.000  10.18   8.69   6.69   4.85   4.26   4.02   3.86   3.64   3.75
 0.170  3142.   -0.73  3.34  1.465    1.000   9.70   8.29   6.34   4.58   3.94   3.72   3.58   3.38   3.49
 0.200  3226.   -0.66  3.38  1.503    1.000   9.30   7.98   6.12   4.44   3.78   3.57   3.45   3.26   3.38
 0.300  3428.   -0.48  3.49  1.636    1.000   8.31   7.20   5.55   4.08   3.35   3.16   3.07   2.93   3.06
 0.400  3634.   -0.32  3.55  1.753    1.000   7.26   6.36   5.04   3.77   2.99   2.83   2.74   2.66   2.79
 0.500  3802.   -0.18  3.59  1.870    1.000   6.55   5.75   4.65   3.50   2.72   2.57   2.49   2.45   2.59
 0.600  3955.   -0.07  3.63  1.971    1.000   5.98   5.24   4.33   3.26   2.51   2.38   2.31   2.28   2.42
 0.700  4078.    0.04  3.64  2.096    1.000   5.59   4.81   4.03   3.03   2.31   2.19   2.12   2.10   2.24
 0.800  4192.    0.13  3.66  2.200    1.000   5.23   4.46   3.79   2.84   2.16   2.04   1.97   1.96   2.09
 0.900  4290.    0.21  3.66  2.310    1.000   4.92   4.18   3.57   2.66   2.01   1.90   1.84   1.83   1.95
 1.000  4377.    0.28  3.67  2.416    1.000   4.66   3.95   3.37   2.49   1.88   1.78   1.71   1.70   1.82
 1.100  4456.    0.35  3.68  2.520    1.000   4.42   3.75   3.19   2.35   1.76   1.66   1.60   1.59   1.70
 1.200  4529.    0.41  3.68  2.612    0.999   4.22   3.57   3.04   2.22   1.65   1.56   1.50   1.49   1.60
 1.300  4596.    0.47  3.69  2.710    0.998   4.03   3.40   2.89   2.10   1.55   1.46   1.40   1.40   1.50
 1.400  4658.    0.52  3.69  2.797    0.998   3.87   3.26   2.76   1.99   1.46   1.38   1.32   1.31   1.41
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0020
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.010  2236.   -2.96  3.75  0.220    1.000  18.81  16.02  13.45  10.00   9.47   8.98   8.54   8.22   8.49
 0.015  2452.   -2.65  3.78  0.262    1.000  16.97  14.54  12.07   9.22   8.74   8.30   7.93   7.65   7.83
 0.020  2571.   -2.46  3.79  0.298    1.000  15.88  13.68  11.30   8.76   8.28   7.87   7.52   7.26   7.40
 0.030  2707.   -2.14  3.74  0.387    1.000  14.44  12.50  10.25   7.99   7.52   7.14   6.83   6.59   6.69
 0.040  2784.   -1.90  3.68  0.481    1.000  13.53  11.72   9.54   7.41   6.93   6.58   6.28   6.06   6.15
 0.050  2829.   -1.72  3.62  0.574    1.000  12.95  11.19   9.04   6.96   6.48   6.14   5.87   5.64   5.73
 0.060  2867.   -1.58  3.57  0.661    1.000  12.52  10.79   8.66   6.61   6.12   5.80   5.54   5.31   5.40
 0.070  2902.   -1.45  3.54  0.743    1.000  12.16  10.46   8.34   6.31   5.81   5.51   5.26   5.04   5.13
 0.072  2907.   -1.43  3.53  0.761    1.000  12.10  10.40   8.27   6.26   5.76   5.45   5.21   4.98   5.07
 0.075  2914.   -1.40  3.52  0.785    1.000  12.00  10.31   8.19   6.18   5.67   5.37   5.14   4.91   5.00
 0.080  2924.   -1.35  3.51  0.827    1.000  11.85  10.17   8.05   6.05   5.54   5.25   5.01   4.79   4.88
 0.090  2934.   -1.26  3.48  0.904    1.000  11.64   9.96   7.85   5.85   5.33   5.04   4.82   4.59   4.68
 0.100  2972.   -1.26  3.54  0.890    1.000  11.47   9.85   7.77   5.83   5.31   5.03   4.82   4.59   4.69
 0.110  2996.   -1.21  3.55  0.922    1.000  11.28   9.69   7.63   5.73   5.19   4.92   4.72   4.49   4.59
 0.130  3034.   -1.15  3.59  0.959    1.000  10.98   9.46   7.44   5.60   5.06   4.79   4.60   4.38   4.48
 0.150  3076.   -1.10  3.62  0.990    1.000  10.68   9.23   7.26   5.49   4.94   4.68   4.49   4.28   4.38
 0.170  3126.   -1.02  3.62  1.060    1.000  10.31   8.93   7.01   5.30   4.72   4.47   4.30   4.10   4.19
 0.200  3202.   -0.96  3.67  1.077    1.000   9.95   8.66   6.81   5.19   4.58   4.35   4.19   4.01   4.11
 0.300  3428.   -0.72  3.73  1.238    1.000   8.78   7.71   6.11   4.68   4.00   3.80   3.68   3.55   3.66
 0.400  3606.   -0.55  3.77  1.363    1.000   7.87   6.94   5.60   4.33   3.60   3.42   3.32   3.23   3.35
 0.500  3763.   -0.41  3.80  1.476    1.000   7.18   6.35   5.20   4.03   3.29   3.13   3.04   2.98   3.11
 0.600  3906.   -0.29  3.83  1.562    1.000   6.62   5.85   4.89   3.80   3.06   2.92   2.84   2.80   2.93
 0.700  4033.   -0.18  3.84  1.659    0.999   6.18   5.43   4.59   3.57   2.85   2.72   2.65   2.62   2.76
 0.800  4153.   -0.09  3.86  1.748    0.996   5.83   5.05   4.33   3.36   2.67   2.55   2.49   2.47   2.60
 0.900  4259.   -0.00  3.87  1.833    0.986   5.50   4.75   4.10   3.18   2.52   2.41   2.35   2.34   2.46
 1.000  4350.    0.07  3.87  1.917    0.973   5.22   4.50   3.90   3.01   2.39   2.29   2.22   2.21   2.33
 1.100  4432.    0.14  3.88  1.995    0.969   4.98   4.29   3.72   2.87   2.27   2.17   2.11   2.10   2.22
 1.200  4508.    0.20  3.88  2.072    0.972   4.76   4.10   3.56   2.73   2.16   2.07   2.01   2.00   2.11
 1.300  4581.    0.26  3.89  2.148    0.977   4.56   3.92   3.40   2.61   2.05   1.97   1.91   1.90   2.00
 1.400  4653.    0.32  3.89  2.220    0.983   4.38   3.76   3.26   2.49   1.96   1.87   1.82   1.81   1.91
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0030
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.010  2142.   -3.13  3.85  0.198    1.000  19.59  16.72  14.15  10.43   9.87   9.35   8.88   8.54   8.86
 0.015  2406.   -2.79  3.88  0.232    1.000  17.56  15.04  12.54   9.56   9.07   8.63   8.24   7.95   8.17
 0.020  2545.   -2.57  3.89  0.267    1.000  16.30  14.05  11.64   9.04   8.55   8.14   7.79   7.53   7.69
 0.030  2706.   -2.17  3.77  0.373    1.000  14.52  12.58  10.33   8.07   7.59   7.22   6.90   6.67   6.77
 0.040  2784.   -1.92  3.69  0.470    1.000  13.57  11.76   9.58   7.46   6.98   6.63   6.33   6.10   6.19
 0.050  2831.   -1.74  3.64  0.559    1.000  13.00  11.24   9.10   7.02   6.54   6.20   5.92   5.70   5.79
 0.060  2870.   -1.61  3.61  0.634    1.000  12.59  10.87   8.74   6.70   6.21   5.89   5.63   5.40   5.49
 0.070  2906.   -1.51  3.60  0.695    1.000  12.27  10.58   8.46   6.45   5.95   5.65   5.40   5.18   5.27
 0.072  2911.   -1.49  3.59  0.710    1.000  12.20  10.52   8.40   6.40   5.90   5.60   5.35   5.13   5.22
 0.075  2919.   -1.46  3.59  0.727    1.000  12.12  10.44   8.33   6.34   5.84   5.54   5.30   5.07   5.16
 0.080  2931.   -1.42  3.58  0.758    1.000  11.97  10.31   8.21   6.23   5.73   5.43   5.19   4.97   5.06
 0.090  2956.   -1.36  3.59  0.794    1.000  11.76  10.13   8.05   6.10   5.59   5.30   5.07   4.85   4.95
 0.100  2998.   -1.44  3.74  0.710    1.000  11.74  10.20   8.16   6.30   5.77   5.49   5.27   5.06   5.15
 0.110  3016.   -1.39  3.75  0.736    1.000  11.57  10.05   8.03   6.20   5.67   5.39   5.18   4.97   5.06
 0.130  3052.   -1.32  3.76  0.783    1.000  11.24   9.78   7.81   6.03   5.49   5.22   5.01   4.81   4.90
 0.150  3088.   -1.25  3.78  0.827    1.000  10.92   9.52   7.60   5.88   5.33   5.06   4.86   4.66   4.75
 0.170  3127.   -1.18  3.78  0.882    1.000  10.61   9.27   7.38   5.70   5.14   4.88   4.69   4.50   4.59
 0.200  3196.   -1.10  3.81  0.917    1.000  10.24   8.97   7.15   5.55   4.96   4.72   4.55   4.36   4.46
 0.300  3404.   -0.86  3.86  1.067    1.000   9.12   8.04   6.44   5.03   4.38   4.16   4.03   3.89   3.99
 0.400  3582.   -0.68  3.89  1.186    1.000   8.22   7.29   5.92   4.65   3.95   3.76   3.64   3.55   3.66
 0.500  3731.   -0.54  3.91  1.292    1.000   7.56   6.71   5.52   4.35   3.62   3.45   3.36   3.29   3.41
 0.600  3868.   -0.42  3.94  1.374    0.996   7.01   6.22   5.21   4.10   3.37   3.23   3.14   3.10   3.23
 0.700  3998.   -0.31  3.96  1.458    0.978   6.53   5.79   4.91   3.88   3.15   3.02   2.95   2.92   3.05
 0.800  4120.   -0.21  3.97  1.535    0.918   6.19   5.40   4.65   3.66   2.97   2.85   2.78   2.76   2.89
 0.900  4232.   -0.13  3.98  1.604    0.873   5.85   5.09   4.42   3.49   2.82   2.71   2.65   2.63   2.76
 1.000  4330.   -0.05  3.99  1.674    0.875   5.56   4.83   4.22   3.32   2.69   2.58   2.52   2.51   2.63
 1.100  4421.    0.02  3.99  1.747    0.899   5.29   4.59   4.02   3.16   2.56   2.46   2.40   2.39   2.51
 1.200  4505.    0.09  4.00  1.817    0.925   5.05   4.38   3.84   3.02   2.44   2.35   2.29   2.28   2.39
 1.300  4588.    0.15  4.00  1.887    0.947   4.83   4.19   3.68   2.88   2.33   2.24   2.19   2.18   2.28
 1.400  4671.    0.22  4.00  1.967    0.965   4.61   4.00   3.50   2.74   2.21   2.13   2.08   2.07   2.17
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0040
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.010  2053.   -3.27  3.91  0.184    1.000  20.31  17.39  14.85  10.84  10.20   9.64   9.12   8.77   9.12
 0.015  2362.   -2.89  3.95  0.215    1.000  18.04  15.42  12.88   9.79   9.29   8.85   8.45   8.15   8.40
 0.020  2535.   -2.61  3.92  0.257    1.000  16.46  14.18  11.77   9.14   8.65   8.24   7.88   7.62   7.79
 0.030  2705.   -2.19  3.78  0.367    1.000  14.56  12.61  10.36   8.11   7.63   7.26   6.94   6.70   6.81
 0.040  2785.   -1.95  3.72  0.457    1.000  13.62  11.82   9.64   7.52   7.04   6.69   6.39   6.16   6.25
 0.050  2834.   -1.78  3.68  0.534    1.000  13.07  11.32   9.18   7.12   6.63   6.30   6.02   5.79   5.88
 0.060  2875.   -1.68  3.69  0.582    1.000  12.73  11.02   8.90   6.88   6.39   6.07   5.81   5.58   5.67
 0.070  2914.   -1.64  3.73  0.595    1.000  12.50  10.84   8.75   6.78   6.28   5.98   5.73   5.51   5.60
 0.072  2921.   -1.63  3.74  0.601    1.000  12.45  10.80   8.71   6.75   6.25   5.95   5.70   5.48   5.57
 0.075  2931.   -1.61  3.75  0.606    1.000  12.38  10.75   8.67   6.73   6.22   5.92   5.67   5.45   5.55
 0.080  2946.   -1.58  3.75  0.625    1.000  12.24  10.63   8.56   6.64   6.13   5.83   5.59   5.37   5.47
 0.090  2976.   -1.53  3.77  0.647    1.000  12.02  10.45   8.41   6.53   6.01   5.72   5.49   5.28   5.37
 0.100  3013.   -1.55  3.86  0.614    1.000  11.92  10.42   8.41   6.60   6.08   5.79   5.57   5.36   5.45
 0.110  3035.   -1.51  3.87  0.639    1.000  11.71  10.25   8.27   6.49   5.96   5.68   5.46   5.26   5.35
 0.130  3075.   -1.42  3.88  0.688    1.000  11.33   9.94   8.01   6.30   5.76   5.48   5.27   5.07   5.16
 0.150  3113.   -1.35  3.89  0.729    1.000  11.02   9.68   7.79   6.13   5.58   5.32   5.11   4.92   5.00
 0.170  3145.   -1.27  3.88  0.782    1.000  10.75   9.44   7.58   5.95   5.39   5.13   4.93   4.75   4.83
 0.200  3206.   -1.19  3.91  0.822    1.000  10.39   9.14   7.35   5.77   5.20   4.95   4.77   4.59   4.68
 0.300  3389.   -0.95  3.94  0.969    1.000   9.33   8.25   6.66   5.25   4.62   4.40   4.25   4.11   4.20
 0.400  3560.   -0.78  3.97  1.078    1.000   8.48   7.54   6.15   4.87   4.19   4.00   3.87   3.77   3.88
 0.500  3704.   -0.63  4.00  1.173    0.995   7.84   6.98   5.76   4.57   3.86   3.69   3.58   3.51   3.63
 0.600  3842.   -0.51  4.02  1.258    0.966   7.27   6.48   5.42   4.31   3.59   3.44   3.35   3.30   3.42
 0.700  3976.   -0.40  4.03  1.334    0.836   6.78   6.03   5.13   4.09   3.37   3.23   3.15   3.12   3.25
 0.800  4096.   -0.30  4.05  1.400    0.712   6.44   5.65   4.87   3.88   3.18   3.06   2.99   2.97   3.10
 0.900  4212.   -0.22  4.06  1.465    0.718   6.09   5.32   4.64   3.70   3.03   2.91   2.85   2.84   2.96
 1.000  4315.   -0.14  4.07  1.527    0.761   5.79   5.05   4.43   3.53   2.89   2.79   2.73   2.71   2.83
 1.100  4417.   -0.06  4.07  1.601    0.826   5.49   4.79   4.21   3.36   2.75   2.65   2.59   2.58   2.70
 1.200  4513.    0.02  4.07  1.669    0.879   5.23   4.56   4.02   3.20   2.62   2.53   2.47   2.47   2.57
 1.300  4609.    0.09  4.07  1.740    0.922   4.98   4.34   3.83   3.04   2.50   2.41   2.36   2.35   2.45
 1.400  4710.    0.16  4.07  1.815    0.952   4.73   4.13   3.64   2.89   2.37   2.29   2.24   2.23   2.33
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0050
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.010  1961.   -3.39  3.95  0.176    1.000  20.77  17.89  15.46  11.23  10.50   9.88   9.29   8.95   9.25
 0.015  2330.   -2.96  3.99  0.204    1.000  18.38  15.70  13.15   9.97   9.46   9.00   8.60   8.29   8.56
 0.020  2531.   -2.62  3.93  0.254    1.000  16.51  14.23  11.81   9.17   8.68   8.27   7.91   7.65   7.82
 0.030  2705.   -2.20  3.80  0.362    1.000  14.59  12.65  10.40   8.14   7.66   7.29   6.97   6.74   6.84
 0.040  2785.   -1.98  3.75  0.440    1.000  13.70  11.89   9.72   7.60   7.12   6.77   6.47   6.25   6.34
 0.050  2841.   -1.85  3.76  0.489    1.000  13.22  11.48   9.35   7.30   6.81   6.48   6.20   5.98   6.07
 0.060  2890.   -1.81  3.82  0.496    1.000  12.96  11.29   9.19   7.21   6.72   6.40   6.14   5.92   6.01
 0.070  2928.   -1.76  3.87  0.511    1.000  12.71  11.09   9.02   7.10   6.60   6.29   6.04   5.83   5.92
 0.072  2934.   -1.75  3.87  0.518    1.000  12.65  11.04   8.98   7.06   6.56   6.26   6.00   5.79   5.88
 0.075  2944.   -1.73  3.87  0.525    1.000  12.57  10.98   8.92   7.02   6.52   6.22   5.97   5.75   5.85
 0.080  2959.   -1.69  3.87  0.541    1.000  12.43  10.86   8.82   6.94   6.43   6.13   5.89   5.68   5.77
 0.090  2992.   -1.64  3.89  0.566    1.000  12.19  10.66   8.64   6.80   6.28   6.00   5.76   5.55   5.65
 0.100  3027.   -1.63  3.95  0.554    1.000  12.02  10.55   8.58   6.81   6.29   6.00   5.78   5.57   5.66
 0.110  3052.   -1.58  3.95  0.580    1.000  11.79  10.36   8.42   6.69   6.16   5.88   5.66   5.46   5.54
 0.130  3098.   -1.49  3.96  0.627    1.000  11.37  10.02   8.14   6.48   5.94   5.66   5.45   5.26   5.34
 0.150  3136.   -1.41  3.96  0.669    1.000  11.08   9.77   7.92   6.30   5.75   5.48   5.28   5.09   5.18
 0.170  3169.   -1.34  3.96  0.713    1.000  10.81   9.54   7.72   6.12   5.56   5.31   5.11   4.93   5.02
 0.200  3220.   -1.26  3.98  0.758    1.000  10.47   9.25   7.48   5.94   5.37   5.12   4.94   4.76   4.85
 0.300  3379.   -1.02  4.01  0.899    1.000   9.49   8.41   6.82   5.42   4.81   4.58   4.42   4.28   4.37
 0.400  3546.   -0.84  4.03  1.006    0.998   8.66   7.71   6.31   5.03   4.37   4.17   4.04   3.93   4.03
 0.500  3696.   -0.70  4.06  1.095    0.975   8.00   7.13   5.91   4.73   4.03   3.85   3.74   3.67   3.78
 0.600  3830.   -0.57  4.08  1.173    0.834   7.45   6.65   5.59   4.47   3.76   3.61   3.51   3.46   3.58
 0.700  3960.   -0.47  4.09  1.243    0.547   6.97   6.21   5.30   4.25   3.54   3.40   3.32   3.28   3.41
 0.800  4081.   -0.37  4.11  1.306    0.517   6.62   5.83   5.04   4.04   3.35   3.22   3.15   3.12   3.25
 0.900  4198.   -0.28  4.12  1.366    0.567   6.27   5.50   4.80   3.86   3.19   3.07   3.01   2.99   3.12
 1.000  4310.   -0.20  4.13  1.429    0.658   5.94   5.20   4.58   3.68   3.04   2.93   2.87   2.86   2.98
 1.100  4422.   -0.12  4.13  1.494    0.755   5.63   4.93   4.36   3.50   2.90   2.80   2.74   2.73   2.84
 1.200  4531.   -0.03  4.13  1.569    0.842   5.33   4.67   4.13   3.32   2.75   2.66   2.60   2.60   2.70
 1.300  4644.    0.05  4.12  1.643    0.904   5.05   4.42   3.92   3.15   2.61   2.53   2.47   2.47   2.56
 1.400  4771.    0.14  4.11  1.719    0.944   4.76   4.17   3.70   2.97   2.47   2.39   2.34   2.33   2.42
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0080
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.010  1714.   -3.70  4.02  0.161    1.000  21.36  18.68  16.58  12.57  11.34  10.46   9.65   9.32   9.61
 0.015  2280.   -3.05  4.05  0.192    1.000  18.84  16.08  13.53  10.19   9.68   9.21   8.79   8.47   8.79
 0.020  2525.   -2.65  3.95  0.248    1.000  16.61  14.31  11.88   9.22   8.74   8.32   7.97   7.70   7.88
 0.030  2699.   -2.29  3.88  0.329    1.000  14.83  12.88  10.62   8.36   7.88   7.51   7.18   6.95   7.06
 0.040  2784.   -2.22  4.00  0.333    1.000  14.27  12.48  10.31   8.22   7.73   7.38   7.07   6.85   6.95
 0.050  2849.   -2.13  4.04  0.353    1.000  13.81  12.11  10.00   8.00   7.51   7.18   6.89   6.68   6.77
 0.060  2903.   -2.05  4.07  0.375    1.000  13.41  11.79   9.73   7.81   7.32   7.00   6.73   6.51   6.61
 0.070  2948.   -1.97  4.09  0.396    1.000  13.09  11.53   9.50   7.64   7.14   6.83   6.57   6.36   6.45
 0.072  2956.   -1.96  4.09  0.401    1.000  13.02  11.47   9.44   7.60   7.09   6.79   6.53   6.33   6.42
 0.075  2968.   -1.93  4.09  0.411    1.000  12.91  11.38   9.36   7.53   7.03   6.72   6.47   6.27   6.36
 0.080  2986.   -1.89  4.09  0.424    1.000  12.76  11.25   9.25   7.44   6.93   6.64   6.39   6.19   6.28
 0.090  3017.   -1.83  4.09  0.445    1.000  12.49  11.03   9.06   7.30   6.78   6.49   6.26   6.06   6.15
 0.100  3045.   -1.80  4.13  0.453    1.000  12.29  10.88   8.95   7.24   6.72   6.43   6.19   6.00   6.09
 0.110  3069.   -1.74  4.12  0.477    1.000  12.05  10.68   8.79   7.10   6.58   6.29   6.06   5.87   5.96
 0.130  3115.   -1.64  4.12  0.517    1.000  11.64  10.34   8.50   6.88   6.34   6.07   5.85   5.66   5.74
 0.150  3155.   -1.56  4.13  0.554    1.000  11.34  10.07   8.27   6.69   6.14   5.88   5.67   5.49   5.57
 0.170  3192.   -1.48  4.12  0.593    1.000  11.04   9.81   8.05   6.50   5.94   5.69   5.49   5.31   5.39
 0.200  3234.   -1.40  4.13  0.637    1.000  10.73   9.54   7.82   6.31   5.74   5.49   5.30   5.13   5.21
 0.300  3364.   -1.17  4.15  0.765    0.996   9.84   8.76   7.18   5.79   5.19   4.96   4.79   4.64   4.73
 0.400  3518.   -0.99  4.17  0.864    0.926   9.05   8.08   6.67   5.39   4.75   4.54   4.40   4.28   4.38
 0.500  3669.   -0.84  4.19  0.944    0.449   8.37   7.49   6.26   5.07   4.40   4.21   4.09   4.01   4.11
 0.600  3798.   -0.72  4.21  1.010    0.087   7.84   7.03   5.94   4.82   4.14   3.97   3.86   3.80   3.91
 0.700  3923.   -0.61  4.22  1.071    0.104   7.37   6.60   5.65   4.60   3.90   3.75   3.66   3.62   3.74
 0.800  4049.   -0.51  4.23  1.133    0.173   6.98   6.21   5.38   4.38   3.69   3.56   3.48   3.45   3.57
 0.900  4184.   -0.41  4.24  1.192    0.282   6.60   5.82   5.11   4.16   3.49   3.38   3.31   3.29   3.41
 1.000  4327.   -0.30  4.24  1.256    0.448   6.19   5.45   4.84   3.94   3.31   3.21   3.15   3.13   3.25
