log(sep) DeltaG log(RUWE) sigma_log(RUWE)
 1.325  3.200 0.068036  0.26067 
 1.375  3.200 0.063692  0.25364 
 1.425  3.200 0.059868  0.24835 
 1.475  3.200 0.057838  0.24441 
 1.525  3.200 0.059023  0.24146 
 1.575  3.200 0.064895  0.23920 
 1.625  3.200 0.076869  0.23738 
 1.675  3.200 0.096180  0.23585 
 1.725  3.200 0.123761  0.23451 
 1.775  3.200 0.160131  0.23332 
 1.825  3.200 0.205306  0.23223 
 1.875  3.200 0.258742  0.23126 
 1.925  3.200 0.319316  0.23040 
 1.975  3.200 0.385345  0.22965 
 2.025  3.200 0.454661  0.22902 
 2.075  3.200 0.524715  0.22851 
 2.125  3.200 0.592721  0.22811 
 2.175  3.200 0.655823  0.22781 
 2.225  3.200 0.711270  0.22760 
 2.275  3.200 0.756587  0.22747 
 2.325  3.200 0.789738  0.22740 
 2.375  3.200 0.809244  0.22739 
 2.425  3.200 0.814277  0.22742 
 2.475  3.200 0.804698  0.22748 
 2.525  3.200 0.781056  0.22756 
 2.575  3.200 0.744534  0.22765 
 2.625  3.200 0.696859  0.22775 
 2.675  3.200 0.640179  0.22787 
 2.725  3.200 0.576923  0.22802 
 2.775  3.200 0.509645  0.22819 
 2.825  3.200 0.440877  0.22839 
 2.875  3.200 0.372993  0.22862 
 2.925  3.200 0.308098  0.22884 
 2.975  3.200 0.247937  0.22904 
 3.025  3.200 0.193848  0.22918 
 3.075  3.200 0.146732  0.22921 
 3.125  3.200 0.107065  0.22912 
 3.175  3.200 0.074930  0.22894 
 3.225  3.200 0.050064  0.22877 
 3.275  3.200 0.031928  0.22884 
 3.325  3.200 0.019776  0.22951 
 1.275  3.300 0.072354  0.27161 
 1.325  3.300 0.068092  0.26215 
 1.375  3.300 0.063100  0.25483 
 1.425  3.300 0.058402  0.24930 
 1.475  3.300 0.055242  0.24518 
 1.525  3.300 0.055016  0.24210 
 1.575  3.300 0.059181  0.23975 
 1.625  3.300 0.069148  0.23787 
 1.675  3.300 0.086162  0.23629 
 1.725  3.300 0.111180  0.23491 
 1.775  3.300 0.144763  0.23367 
 1.825  3.300 0.186984  0.23253 
 1.875  3.300 0.237370  0.23150 
 1.925  3.300 0.294881  0.23058 
 1.975  3.300 0.357926  0.22978 
 2.025  3.300 0.424432  0.22911 
 2.075  3.300 0.491946  0.22855 
 2.125  3.300 0.557770  0.22812 
 2.175  3.300 0.619126  0.22780 
 2.225  3.300 0.673325  0.22758 
 2.275  3.300 0.717935  0.22745 
 2.325  3.300 0.750941  0.22738 
 2.375  3.300 0.770861  0.22738 
 2.425  3.300 0.776845  0.22741 
 2.475  3.300 0.768707  0.22747 
 2.525  3.300 0.746934  0.22754 
 2.575  3.300 0.712631  0.22763 
 2.625  3.300 0.667438  0.22774 
 2.675  3.300 0.613414  0.22786 
 2.725  3.300 0.552895  0.22800 
 2.775  3.300 0.488353  0.22818 
 2.825  3.300 0.422242  0.22838 
 2.875  3.300 0.356875  0.22860 
 2.925  3.300 0.294305  0.22883 
 2.975  3.300 0.236244  0.22903 
 3.025  3.300 0.184009  0.22916 
 3.075  3.300 0.138498  0.22919 
 3.125  3.300 0.100191  0.22909 
 3.175  3.300 0.069186  0.22890 
 3.225  3.300 0.045246  0.22871 
 3.275  3.300 0.027857  0.22874 
 3.325  3.300 0.016303  0.22936 
 1.275  3.400 0.072808  0.27346 
 1.325  3.400 0.068113  0.26369 
 1.375  3.400 0.062503  0.25607 
 1.425  3.400 0.056967  0.25030 
 1.475  3.400 0.052719  0.24598 
 1.525  3.400 0.051129  0.24277 
 1.575  3.400 0.053639  0.24031 
 1.625  3.400 0.061654  0.23837 
 1.675  3.400 0.076427  0.23675 
 1.725  3.400 0.098938  0.23532 
 1.775  3.400 0.129787  0.23403 
 1.825  3.400 0.169103  0.23284 
 1.875  3.400 0.216481  0.23176 
 1.925  3.400 0.270964  0.23078 
 1.975  3.400 0.331051  0.22992 
 2.025  3.400 0.394764  0.22920 
 2.075  3.400 0.459744  0.22860 
 2.125  3.400 0.523383  0.22814 
 2.175  3.400 0.582981  0.22780 
 2.225  3.400 0.635910  0.22757 
 2.275  3.400 0.679784  0.22743 
 2.325  3.400 0.712610  0.22737 
 2.375  3.400 0.732907  0.22737 
 2.425  3.400 0.739800  0.22740 
 2.475  3.400 0.733062  0.22746 
 2.525  3.400 0.713116  0.22754 
 2.575  3.400 0.680993  0.22763 
 2.625  3.400 0.638248  0.22773 
 2.675  3.400 0.586848  0.22785 
 2.725  3.400 0.529043  0.22800 
 2.775  3.400 0.467215  0.22817 
 2.825  3.400 0.403748  0.22837 
 2.875  3.400 0.340887  0.22859 
 2.925  3.400 0.280637  0.22882 
 2.975  3.400 0.224675  0.22902 
 3.025  3.400 0.174297  0.22915 
 3.075  3.400 0.130394  0.22917 
 3.125  3.400 0.093453  0.22908 
 3.175  3.400 0.063586  0.22887 
 3.225  3.400 0.040577  0.22866 
 3.275  3.400 0.023941  0.22866 
 3.325  3.400 0.012990  0.22921 
 1.275  3.500 0.073205  0.27538 
 1.325  3.500 0.068102  0.26528 
 1.375  3.500 0.061904  0.25736 
 1.425  3.500 0.055568  0.25133 
 1.475  3.500 0.050276  0.24682 
 1.525  3.500 0.047374  0.24345 
 1.575  3.500 0.048285  0.24090 
 1.625  3.500 0.054407  0.23889 
 1.675  3.500 0.067000  0.23721 
 1.725  3.500 0.087064  0.23574 
 1.775  3.500 0.115238  0.23440 
 1.825  3.500 0.151703  0.23316 
 1.875  3.500 0.196123  0.23202 
 1.925  3.500 0.247618  0.23098 
 1.975  3.500 0.304779  0.23007 
 2.025  3.500 0.365722  0.22930 
 2.075  3.500 0.428181  0.22866 
 2.125  3.500 0.489636  0.22817 
 2.175  3.500 0.547465  0.22781 
 2.225  3.500 0.599106  0.22757 
 2.275  3.500 0.642218  0.22743 
 2.325  3.500 0.674830  0.22737 
 2.375  3.500 0.695464  0.22737 
 2.425  3.500 0.703224  0.22741 
 2.475  3.500 0.697841  0.22747 
 2.525  3.500 0.679678  0.22755 
 2.575  3.500 0.649692  0.22764 
 2.625  3.500 0.609353  0.22774 
 2.675  3.500 0.560542  0.22786 
 2.725  3.500 0.505418  0.22800 
 2.775  3.500 0.446280  0.22817 
 2.825  3.500 0.385434  0.22837 
 2.875  3.500 0.325064  0.22860 
 2.925  3.500 0.267124  0.22882 
 2.975  3.500 0.213254  0.22902 
 3.025  3.500 0.164731  0.22915 
 3.075  3.500 0.122436  0.22917 
 3.125  3.500 0.086863  0.22907 
 3.175  3.500 0.058137  0.22885 
 3.225  3.500 0.036065  0.22862 
 3.275  3.500 0.020186  0.22858 
 3.325  3.500 0.009842  0.22908 
 1.275  3.600 0.073547  0.27736 
 1.325  3.600 0.068060  0.26693 
 1.375  3.600 0.061307  0.25871 
 1.425  3.600 0.054212  0.25241 
 1.475  3.600 0.047924  0.24768 
 1.525  3.600 0.043763  0.24416 
 1.575  3.600 0.043133  0.24150 
 1.625  3.600 0.047425  0.23941 
 1.675  3.600 0.057903  0.23768 
 1.725  3.600 0.075587  0.23616 
 1.775  3.600 0.101149  0.23478 
 1.825  3.600 0.134824  0.23349 
 1.875  3.600 0.176339  0.23229 
 1.925  3.600 0.224895  0.23120 
 1.975  3.600 0.279169  0.23023 
 2.025  3.600 0.337369  0.22941 
 2.075  3.600 0.397323  0.22874 
 2.125  3.600 0.456599  0.22822 
 2.175  3.600 0.512656  0.22784 
 2.225  3.600 0.562993  0.22759 
 2.275  3.600 0.605316  0.22745 
 2.325  3.600 0.637681  0.22739 
 2.375  3.600 0.658612  0.22739 
 2.425  3.600 0.667194  0.22743 
 2.475  3.600 0.663118  0.22750 
 2.525  3.600 0.646690  0.22758 
 2.575  3.600 0.618794  0.22766 
 2.625  3.600 0.580817  0.22776 
 2.675  3.600 0.534553  0.22787 
 2.725  3.600 0.482072  0.22801 
 2.775  3.600 0.425591  0.22818 
 2.825  3.600 0.367341  0.22838 
 2.875  3.600 0.309441  0.22861 
 2.925  3.600 0.253794  0.22884 
 2.975  3.600 0.202005  0.22904 
 3.025  3.600 0.155329  0.22916 
 3.075  3.600 0.114640  0.22918 
 3.125  3.600 0.080434  0.22907 
 3.175  3.600 0.052851  0.22884 
 3.225  3.600 0.031716  0.22859 
 3.275  3.600 0.016597  0.22851 
 3.325  3.600 0.006861  0.22895 
 1.275  3.700 0.073834  0.27941 
 1.325  3.700 0.067990  0.26864 
 1.375  3.700 0.060716  0.26010 
 1.425  3.700 0.052903  0.25352 
 1.475  3.700 0.045668  0.24858 
 1.525  3.700 0.040305  0.24489 
 1.575  3.700 0.038197  0.24211 
 1.625  3.700 0.040725  0.23995 
 1.675  3.700 0.049157  0.23816 
 1.725  3.700 0.064531  0.23659 
 1.775  3.700 0.087552  0.23516 
 1.825  3.700 0.118502  0.23382 
 1.875  3.700 0.157173  0.23257 
 1.925  3.700 0.202842  0.23142 
 1.975  3.700 0.254272  0.23040 
 2.025  3.700 0.309763  0.22953 
 2.075  3.700 0.367234  0.22882 
 2.125  3.700 0.424342  0.22828 
 2.175  3.700 0.478623  0.22788 
 2.225  3.700 0.527644  0.22763 
 2.275  3.700 0.569155  0.22748 
 2.325  3.700 0.601240  0.22743 
 2.375  3.700 0.622428  0.22743 
 2.425  3.700 0.631786  0.22747 
 2.475  3.700 0.628968  0.22754 
 2.525  3.700 0.614223  0.22762 
 2.575  3.700 0.588364  0.22770 
 2.625  3.700 0.552700  0.22779 
 2.675  3.700 0.508935  0.22790 
 2.725  3.700 0.459055  0.22803 
 2.775  3.700 0.405194  0.22820 
 2.825  3.700 0.349507  0.22841 
 2.875  3.700 0.294050  0.22863 
 2.925  3.700 0.240675  0.22886 
 2.975  3.700 0.190952  0.22906 
 3.025  3.700 0.146112  0.22919 
 3.075  3.700 0.107021  0.22921 
 3.125  3.700 0.074177  0.22909 
 3.175  3.700 0.047734  0.22885 
 3.225  3.700 0.027537  0.22857 
 3.275  3.700 0.013177  0.22845 
 3.325  3.700 0.004049  0.22883 
 1.275  3.800 0.074068  0.28151 
 1.325  3.800 0.067894  0.27040 
 1.375  3.800 0.060135  0.26154 
 1.425  3.800 0.051647  0.25468 
 1.475  3.800 0.043517  0.24950 
 1.525  3.800 0.037009  0.24564 
 1.575  3.800 0.033488  0.24274 
 1.625  3.800 0.034323  0.24049 
 1.675  3.800 0.040783  0.23864 
 1.725  3.800 0.053922  0.23702 
 1.775  3.800 0.074475  0.23554 
 1.825  3.800 0.102771  0.23415 
 1.875  3.800 0.138664  0.23285 
 1.925  3.800 0.181505  0.23165 
 1.975  3.800 0.230140  0.23058 
 2.025  3.800 0.282960  0.22967 
 2.075  3.800 0.337975  0.22892 
 2.125  3.800 0.392929  0.22835 
 2.175  3.800 0.445437  0.22794 
 2.225  3.800 0.493129  0.22768 
 2.275  3.800 0.533807  0.22754 
 2.325  3.800 0.565580  0.22748 
 2.375  3.800 0.586984  0.22749 
 2.425  3.800 0.597071  0.22754 
 2.475  3.800 0.595459  0.22760 
 2.525  3.800 0.582343  0.22767 
 2.575  3.800 0.558467  0.22775 
 2.625  3.800 0.525060  0.22783 
 2.675  3.800 0.483743  0.22794 
 2.725  3.800 0.436416  0.22807 
 2.775  3.800 0.385131  0.22824 
 2.825  3.800 0.331969  0.22844 
 2.875  3.800 0.278923  0.22867 
 2.925  3.800 0.227795  0.22890 
 2.975  3.800 0.180116  0.22910 
 3.025  3.800 0.137097  0.22923 
 3.075  3.800 0.099592  0.22925 
 3.125  3.800 0.068104  0.22912 
 3.175  3.800 0.042796  0.22886 
 3.225  3.800 0.023533  0.22856 
 3.275  3.800 0.009930  0.22840 
 3.325  3.800 0.001408  0.22872 
 1.275  3.900 0.074251  0.28367 
 1.325  3.900 0.067774  0.27222 
 1.375  3.900 0.059565  0.26302 
 1.425  3.900 0.050448  0.25587 
 1.475  3.900 0.041475  0.25046 
 1.525  3.900 0.033885  0.24641 
 1.575  3.900 0.029018  0.24338 
 1.625  3.900 0.028233  0.24103 
 1.675  3.900 0.032798  0.23912 
 1.725  3.900 0.043780  0.23745 
 1.775  3.900 0.061944  0.23592 
 1.825  3.900 0.087662  0.23448 
 1.875  3.900 0.120848  0.23313 
 1.925  3.900 0.160924  0.23188 
 1.975  3.900 0.206820  0.23077 
 2.025  3.900 0.257012  0.22981 
 2.075  3.900 0.309602  0.22904 
 2.125  3.900 0.362421  0.22845 
 2.175  3.900 0.413160  0.22803 
 2.225  3.900 0.459517  0.22776 
 2.275  3.900 0.499341  0.22762 
 2.325  3.900 0.530771  0.22757 
 2.375  3.900 0.552351  0.22758 
 2.425  3.900 0.563119  0.22763 
 2.475  3.900 0.562658  0.22769 
 2.525  3.900 0.551113  0.22775 
 2.575  3.900 0.529161  0.22782 
 2.625  3.900 0.497953  0.22789 
 2.675  3.900 0.459027  0.22799 
 2.725  3.900 0.414200  0.22811 
 2.775  3.900 0.365443  0.22828 
 2.825  3.900 0.314764  0.22848 
 2.875  3.900 0.264092  0.22872 
 2.925  3.900 0.215179  0.22895 
 2.975  3.900 0.169520  0.22916 
 3.025  3.900 0.128301  0.22929 
 3.075  3.900 0.092368  0.22930 
 3.125  3.900 0.062223  0.22917 
 3.175  3.900 0.038043  0.22889 
 3.225  3.900 0.019709  0.22856 
 3.275  3.900 0.006859  0.22836 
 3.325  3.900 -0.001059  0.22862 
 1.275  4.000 0.074382  0.28588 
 1.325  4.000 0.067631  0.27409 
 1.375  4.000 0.059011  0.26455 
 1.425  4.000 0.049309  0.25710 
 1.475  4.000 0.039549  0.25144 
 1.525  4.000 0.030938  0.24720 
 1.575  4.000 0.024796  0.24403 
 1.625  4.000 0.022468  0.24158 
 1.675  4.000 0.025218  0.23959 
 1.725  4.000 0.034126  0.23787 
 1.775  4.000 0.049983  0.23630 
 1.825  4.000 0.073204  0.23482 
 1.875  4.000 0.103759  0.23342 
 1.925  4.000 0.141138  0.23212 
 1.975  4.000 0.184353  0.23097 
 2.025  4.000 0.231966  0.22998 
 2.075  4.000 0.282167  0.22917 
 2.125  4.000 0.332873  0.22856 
 2.175  4.000 0.381853  0.22814 
 2.225  4.000 0.426869  0.22787 
 2.275  4.000 0.465822  0.22773 
 2.325  4.000 0.496878  0.22768 
 2.375  4.000 0.518593  0.22770 
 2.425  4.000 0.529993  0.22774 
 2.475  4.000 0.530629  0.22780 
 2.525  4.000 0.520594  0.22785 
 2.575  4.000 0.500503  0.22790 
 2.625  4.000 0.471432  0.22797 
 2.675  4.000 0.434837  0.22805 
 2.725  4.000 0.392452  0.22817 
 2.775  4.000 0.346170  0.22833 
 2.825  4.000 0.297925  0.22853 
 2.875  4.000 0.249586  0.22877 
 2.925  4.000 0.202852  0.22901 
 2.975  4.000 0.159183  0.22923 
 3.025  4.000 0.119741  0.22936 
 3.075  4.000 0.085361  0.22937 
 3.125  4.000 0.056547  0.22923 
 3.175  4.000 0.033483  0.22894 
 3.225  4.000 0.016070  0.22858 
 3.275  4.000 0.003967  0.22834 
 3.325  4.000 -0.003352  0.22854 
 1.275  4.100 0.074463  0.28815 
 1.325  4.100 0.067468  0.27600 
 1.375  4.100 0.058473  0.26613 
 1.425  4.100 0.048235  0.25837 
 1.475  4.100 0.037743  0.25245 
 1.525  4.100 0.028177  0.24801 
 1.575  4.100 0.020832  0.24468 
 1.625  4.100 0.017038  0.24213 
 1.675  4.100 0.018056  0.24007 
 1.725  4.100 0.024977  0.23829 
 1.775  4.100 0.038614  0.23667 
 1.825  4.100 0.059422  0.23515 
 1.875  4.100 0.087425  0.23371 
 1.925  4.100 0.122182  0.23237 
 1.975  4.100 0.162779  0.23118 
 2.025  4.100 0.207867  0.23016 
 2.075  4.100 0.255719  0.22933 
 2.125  4.100 0.304337  0.22871 
 2.175  4.100 0.351569  0.22827 
 2.225  4.100 0.395243  0.22800 
 2.275  4.100 0.433308  0.22787 
 2.325  4.100 0.463962  0.22783 
 2.375  4.100 0.485772  0.22784 
 2.425  4.100 0.497754  0.22789 
 2.475  4.100 0.499429  0.22793 
 2.525  4.100 0.490844  0.22798 
 2.575  4.100 0.472548  0.22801 
 2.625  4.100 0.445547  0.22806 
 2.675  4.100 0.411218  0.22813 
 2.725  4.100 0.371214  0.22823 
 2.775  4.100 0.327348  0.22839 
 2.825  4.100 0.281487  0.22860 
 2.875  4.100 0.235433  0.22884 
 2.925  4.100 0.190839  0.22909 
 2.975  4.100 0.149127  0.22931 
 3.025  4.100 0.111434  0.22944 
 3.075  4.100 0.078585  0.22945 
 3.125  4.100 0.051082  0.22930 
 3.175  4.100 0.029122  0.22899 
 3.225  4.100 0.012619  0.22860 
 3.275  4.100 0.001257  0.22832 
 3.325  4.100 -0.005471  0.22846 
 1.275  4.200 0.074495  0.29047 
 1.325  4.200 0.067286  0.27797 
 1.375  4.200 0.057955  0.26775 
 1.425  4.200 0.047228  0.25967 
 1.475  4.200 0.036061  0.25348 
 1.525  4.200 0.025605  0.24882 
 1.575  4.200 0.017131  0.24534 
 1.625  4.200 0.011952  0.24267 
 1.675  4.200 0.011326  0.24053 
 1.725  4.200 0.016347  0.23870 
 1.775  4.200 0.027855  0.23703 
 1.825  4.200 0.046338  0.23547 
 1.875  4.200 0.071874  0.23399 
 1.925  4.200 0.104085  0.23262 
 1.975  4.200 0.142134  0.23140 
 2.025  4.200 0.184752  0.23035 
 2.075  4.200 0.230300  0.22951 
 2.125  4.200 0.276862  0.22888 
 2.175  4.200 0.322361  0.22844 
 2.225  4.200 0.364693  0.22818 
 2.275  4.200 0.401855  0.22805 
 2.325  4.200 0.432080  0.22801 
 2.375  4.200 0.453945  0.22803 
 2.425  4.200 0.466459  0.22807 
 2.475  4.200 0.469115  0.22810 
 2.525  4.200 0.461914  0.22813 
 2.575  4.200 0.445347  0.22815 
 2.625  4.200 0.420347  0.22817 
 2.675  4.200 0.388215  0.22822 
 2.725  4.200 0.350525  0.22831 
 2.775  4.200 0.309015  0.22846 
 2.825  4.200 0.265479  0.22867 
 2.875  4.200 0.221661  0.22891 
 2.925  4.200 0.179162  0.22917 
 2.975  4.200 0.139368  0.22940 
 3.025  4.200 0.103393  0.22954 
 3.075  4.200 0.072049  0.22955 
 3.125  4.200 0.045839  0.22938 
 3.175  4.200 0.024966  0.22906 
 3.225  4.200 0.009362  0.22864 
 3.275  4.200 -0.001271  0.22831 
 3.325  4.200 -0.007415  0.22839 
 1.275  4.300 0.074479  0.29283 
 1.325  4.300 0.067085  0.27998 
 1.375  4.300 0.057457  0.26941 
 1.425  4.300 0.046289  0.26101 
 1.475  4.300 0.034506  0.25453 
 1.525  4.300 0.023227  0.24965 
 1.575  4.300 0.013700  0.24600 
 1.625  4.300 0.007220  0.24321 
 1.675  4.300 0.005036  0.24099 
 1.725  4.300 0.008251  0.23910 
 1.775  4.300 0.017721  0.23739 
 1.825  4.300 0.033972  0.23578 
 1.875  4.300 0.057128  0.23427 
 1.925  4.300 0.086875  0.23288 
 1.975  4.300 0.122448  0.23163 
 2.025  4.300 0.162658  0.23056 
 2.075  4.300 0.205949  0.22971 
 2.125  4.300 0.250488  0.22908 
 2.175  4.300 0.294274  0.22865 
 2.225  4.300 0.335266  0.22839 
 2.275  4.300 0.371514  0.22827 
 2.325  4.300 0.401283  0.22824 
 2.375  4.300 0.423164  0.22826 
 2.425  4.300 0.436160  0.22829 
 2.475  4.300 0.439738  0.22831 
 2.525  4.300 0.433855  0.22831 
 2.575  4.300 0.418946  0.22830 
 2.625  4.300 0.395875  0.22830 
 2.675  4.300 0.365869  0.22833 
 2.725  4.300 0.330423  0.22841 
 2.775  4.300 0.291202  0.22855 
 2.825  4.300 0.249931  0.22875 
 2.875  4.300 0.208293  0.22900 
 2.925  4.300 0.167842  0.22927 
 2.975  4.300 0.129926  0.22950 
 3.025  4.300 0.095633  0.22965 
 3.075  4.300 0.065766  0.22965 
 3.125  4.300 0.040825  0.22948 
 3.175  4.300 0.021021  0.22914 
 3.225  4.300 0.006301  0.22869 
 3.275  4.300 -0.003615  0.22832 
 3.325  4.300 -0.009184  0.22834 
 1.275  4.400 0.074416  0.29524 
 1.325  4.400 0.066866  0.28204 
 1.375  4.400 0.056981  0.27111 
 1.425  4.400 0.045422  0.26237 
 1.475  4.400 0.033081  0.25561 
 1.525  4.400 0.021047  0.25049 
 1.575  4.400 0.010543  0.24666 
 1.625  4.400 0.002846  0.24375 
 1.675  4.400 -0.000805  0.24143 
 1.725  4.400 0.000697  0.23948 
 1.775  4.400 0.008226  0.23772 
 1.825  4.400 0.022339  0.23609 
 1.875  4.400 0.043208  0.23455 
 1.925  4.400 0.070575  0.23314 
 1.975  4.400 0.103748  0.23187 
 2.025  4.400 0.141615  0.23080 
 2.075  4.400 0.182702  0.22994 
 2.125  4.400 0.225255  0.22931 
 2.175  4.400 0.267349  0.22889 
 2.225  4.400 0.307007  0.22865 
 2.275  4.400 0.342331  0.22854 
 2.325  4.400 0.371619  0.22852 
 2.375  4.400 0.393478  0.22853 
 2.425  4.400 0.406904  0.22855 
 2.475  4.400 0.411344  0.22855 
 2.525  4.400 0.406713  0.22853 
 2.575  4.400 0.393389  0.22849 
 2.625  4.400 0.372173  0.22845 
 2.675  4.400 0.344216  0.22845 
 2.725  4.400 0.310942  0.22851 
 2.775  4.400 0.273941  0.22864 
 2.825  4.400 0.234871  0.22884 
 2.875  4.400 0.195355  0.22910 
 2.925  4.400 0.156899  0.22937 
 2.975  4.400 0.120815  0.22961 
 3.025  4.400 0.088168  0.22977 
 3.075  4.400 0.059745  0.22977 
 3.125  4.400 0.036047  0.22959 
 3.175  4.400 0.017291  0.22923 
 3.225  4.400 0.003438  0.22875 
 3.275  4.400 -0.005773  0.22833 
 3.325  4.400 -0.010779  0.22830 
 1.275  4.500 0.074306  0.29769 
 1.325  4.500 0.066631  0.28414 
 1.375  4.500 0.056528  0.27284 
 1.425  4.500 0.044626  0.26377 
 1.475  4.500 0.031786  0.25670 
 1.525  4.500 0.019067  0.25134 
 1.575  4.500 0.007664  0.24732 
 1.625  4.500 -0.001166  0.24427 
 1.675  4.500 -0.006191  0.24186 
 1.725  4.500 -0.006305  0.23984 
 1.775  4.500 -0.000619  0.23805 
 1.825  4.500 0.011454  0.23639 
 1.875  4.500 0.030128  0.23483 
 1.925  4.500 0.055205  0.23340 
 1.975  4.500 0.086058  0.23213 
 2.025  4.500 0.121650  0.23105 
 2.075  4.500 0.160587  0.23021 
 2.125  4.500 0.201195  0.22959 
 2.175  4.500 0.241621  0.22918 
 2.225  4.500 0.279954  0.22896 
 2.275  4.500 0.314345  0.22886 
 2.325  4.500 0.343129  0.22884 
 2.375  4.500 0.364928  0.22886 
 2.425  4.500 0.378736  0.22886 
 2.475  4.500 0.383976  0.22884 
 2.525  4.500 0.380528  0.22878 
 2.575  4.500 0.368717  0.22870 
 2.625  4.500 0.349277  0.22863 
 2.675  4.500 0.323294  0.22860 
 2.725  4.500 0.292115  0.22863 
 2.775  4.500 0.257261  0.22875 
 2.825  4.500 0.220323  0.22894 
 2.875  4.500 0.182868  0.22920 
 2.925  4.500 0.146352  0.22948 
 2.975  4.500 0.112052  0.22974 
 3.025  4.500 0.081008  0.22990 
 3.075  4.500 0.053995  0.22990 
 3.125  4.500 0.031512  0.22971 
 3.175  4.500 0.013780  0.22933 
 3.225  4.500 0.000775  0.22881 
 3.275  4.500 -0.007746  0.22835 
 3.325  4.500 -0.012201  0.22826 
 1.275  4.600 0.074149  0.30018 
 1.325  4.600 0.066380  0.28627 
 1.375  4.600 0.056098  0.27462 
 1.425  4.600 0.043902  0.26519 
 1.475  4.600 0.030623  0.25781 
 1.525  4.600 0.017288  0.25220 
 1.575  4.600 0.005064  0.24797 
 1.625  4.600 -0.004811  0.24478 
 1.675  4.600 -0.011118  0.24227 
 1.725  4.600 -0.012751  0.24019 
 1.775  4.600 -0.008807  0.23836 
 1.825  4.600 0.001326  0.23667 
 1.875  4.600 0.017903  0.23510 
 1.925  4.600 0.040780  0.23367 
 1.975  4.600 0.069395  0.23240 
 2.025  4.600 0.102784  0.23134 
 2.075  4.600 0.139630  0.23050 
 2.125  4.600 0.178336  0.22991 
 2.175  4.600 0.217122  0.22952 
 2.225  4.600 0.254140  0.22932 
 2.275  4.600 0.287593  0.22924 
 2.325  4.600 0.315851  0.22923 
 2.375  4.600 0.337553  0.22924 
 2.425  4.600 0.351692  0.22922 
 2.475  4.600 0.357674  0.22917 
 2.525  4.600 0.355339  0.22907 
 2.575  4.600 0.344964  0.22895 
 2.625  4.600 0.327223  0.22884 
 2.675  4.600 0.303132  0.22876 
 2.725  4.600 0.273970  0.22877 
 2.775  4.600 0.241187  0.22886 
 2.825  4.600 0.206311  0.22905 
 2.875  4.600 0.170851  0.22932 
 2.925  4.600 0.136217  0.22961 
 2.975  4.600 0.103649  0.22987 
 3.025  4.600 0.074165  0.23004 
 3.075  4.600 0.048525  0.23004 
 3.125  4.600 0.027225  0.22984 
 3.175  4.600 0.010493  0.22944 
 3.225  4.600 -0.001685  0.22889 
 3.275  4.600 -0.009534  0.22838 
 3.325  4.600 -0.013452  0.22824 
 1.275  4.700 0.073947  0.30271 
 1.325  4.700 0.066112  0.28845 
 1.375  4.700 0.055691  0.27642 
 1.425  4.700 0.043251  0.26664 
 1.475  4.700 0.029592  0.25894 
 1.525  4.700 0.015709  0.25306 
 1.575  4.700 0.002743  0.24862 
 1.625  4.700 -0.008089  0.24527 
 1.675  4.700 -0.015584  0.24266 
 1.725  4.700 -0.018636  0.24052 
 1.775  4.700 -0.016333  0.23865 
 1.825  4.700 -0.008039  0.23695 
 1.875  4.700 0.006541  0.23537 
 1.925  4.700 0.027312  0.23394 
 1.975  4.700 0.053774  0.23269 
 2.025  4.700 0.085035  0.23165 
 2.075  4.700 0.119851  0.23084 
 2.125  4.700 0.156701  0.23027 
 2.175  4.700 0.193877  0.22992 
 2.225  4.700 0.229594  0.22974 
 2.275  4.700 0.262105  0.22968 
 2.325  4.700 0.289817  0.22968 
 2.375  4.700 0.311386  0.22968 
 2.425  4.700 0.325808  0.22964 
 2.475  4.700 0.332469  0.22955 
 2.525  4.700 0.331179  0.22941 
 2.575  4.700 0.322163  0.22924 
 2.625  4.700 0.306040  0.22907 
 2.675  4.700 0.283760  0.22895 
 2.725  4.700 0.256534  0.22892 
 2.775  4.700 0.225744  0.22899 
 2.825  4.700 0.192855  0.22918 
 2.875  4.700 0.159322  0.22944 
 2.925  4.700 0.126509  0.22974 
 2.975  4.700 0.095620  0.23002 
 3.025  4.700 0.067648  0.23019 
 3.075  4.700 0.043342  0.23020 
 3.125  4.700 0.023191  0.22998 
 3.175  4.700 0.007431  0.22955 
 3.225  4.700 -0.003941  0.22897 
 3.275  4.700 -0.011136  0.22842 
 3.325  4.700 -0.014533  0.22823 
 1.275  4.800 0.073699  0.30527 
 1.325  4.800 0.065829  0.29066 
 1.375  4.800 0.055307  0.27826 
 1.425  4.800 0.042672  0.26811 
 1.475  4.800 0.028692  0.26009 
 1.525  4.800 0.014331  0.25392 
 1.575  4.800 0.000702  0.24927 
 1.625  4.800 -0.011002  0.24576 
 1.675  4.800 -0.019589  0.24304 
 1.725  4.800 -0.023961  0.24083 
 1.775  4.800 -0.023196  0.23892 
 1.825  4.800 -0.016636  0.23721 
 1.875  4.800 -0.003953  0.23564 
 1.925  4.800 0.014808  0.23423 
 1.975  4.800 0.039205  0.23300 
 2.025  4.800 0.068415  0.23199 
 2.075  4.800 0.101266  0.23122 
 2.125  4.800 0.136309  0.23069 
 2.175  4.800 0.171908  0.23038 
 2.225  4.800 0.206339  0.23023 
 2.275  4.800 0.237906  0.23019 
 2.325  4.800 0.265053  0.23020 
 2.375  4.800 0.286456  0.23019 
 2.425  4.800 0.301112  0.23013 
 2.475  4.800 0.308393  0.23000 
