log(sep) DeltaG log(RUWE) sigma_log(RUWE)
 3.075  0.500 0.357524  0.22919 
 3.125  0.500 0.294690  0.22957 
 3.175  0.500 0.243822  0.23034 
 3.225  0.500 0.203944  0.23179 
 3.275  0.500 0.173756  0.23432 
 3.325  0.500 0.151763  0.23843 
 1.275  0.600 0.035216  0.25567 
 1.325  0.600 0.045714  0.24958 
 1.375  0.600 0.061395  0.24495 
 1.425  0.600 0.083966  0.24131 
 1.475  0.600 0.115191  0.23832 
 1.525  0.600 0.156760  0.23578 
 1.575  0.600 0.210144  0.23359 
 1.625  0.600 0.276440  0.23175 
 1.675  0.600 0.356220  0.23026 
 1.725  0.600 0.449402  0.22913 
 1.775  0.600 0.555148  0.22834 
 1.825  0.600 0.671811  0.22785 
 1.875  0.600 0.796935  0.22757 
 1.925  0.600 0.927315  0.22743 
 1.975  0.600 1.059114  0.22737 
 2.025  0.600 1.188046  0.22734 
 2.075  0.600 1.309589  0.22732 
 2.125  0.600 1.419239  0.22732 
 2.175  0.600 1.512773  0.22735 
 2.225  0.600 1.586502  0.22743 
 2.275  0.600 1.637497  0.22757 
 2.325  0.600 1.663771  0.22778 
 2.375  0.600 1.664399  0.22805 
 2.425  0.600 1.639567  0.22836 
 2.475  0.600 1.590551  0.22868 
 2.525  0.600 1.519627  0.22897 
 2.575  0.600 1.429915  0.22920 
 2.625  0.600 1.325181  0.22934 
 2.675  0.600 1.209597  0.22939 
 2.725  0.600 1.087502  0.22935 
 2.775  0.600 0.963156  0.22925 
 2.825  0.600 0.840522  0.22911 
 2.875  0.600 0.723082  0.22897 
 2.925  0.600 0.613702  0.22886 
 2.975  0.600 0.514547  0.22880 
 3.025  0.600 0.427046  0.22881 
 3.075  0.600 0.351915  0.22894 
 3.125  0.600 0.289211  0.22925 
 3.175  0.600 0.238426  0.22992 
 3.225  0.600 0.198606  0.23121 
 3.275  0.600 0.168469  0.23353 
 3.325  0.600 0.146542  0.23739 
 1.275  0.700 0.037451  0.25450 
 1.325  0.700 0.047507  0.24852 
 1.375  0.700 0.062557  0.24402 
 1.425  0.700 0.084299  0.24052 
