t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2387.   -2.47  3.38  0.339    1.000   8.80   8.26   7.85  
 0.015  2514.   -2.21  3.38  0.413    1.000   8.16   7.64   7.25  
 0.020  2594.   -2.05  3.40  0.466    1.000   7.77   7.25   6.89  
 0.030  2668.   -1.79  3.36  0.599    1.000   7.11   6.59   6.25  
 0.040  2733.   -1.66  3.40  0.661    1.000   6.81   6.28   5.96  
 0.050  2762.   -1.48  3.34  0.791    1.000   6.38   5.84   5.53  
 0.060  2808.   -1.40  3.37  0.841    1.000   6.18   5.64   5.35  
 0.070  2835.   -1.33  3.37  0.900    1.000   6.01   5.45   5.17  
 0.072  2832.   -1.29  3.35  0.937    1.000   5.92   5.37   5.09  
 0.075  2836.   -1.27  3.34  0.966    1.000   5.85   5.30   5.01  
 0.080  2837.   -1.20  3.31  1.040    1.000   5.69   5.13   4.85  
 0.090  2864.   -1.13  3.31  1.101    1.000   5.53   4.97   4.70  
 0.100  2925.   -1.15  3.41  1.033    1.000   5.60   5.02   4.77  
 0.110  2945.   -1.07  3.38  1.115    1.000   5.41   4.82   4.57  
 0.130  3006.   -0.93  3.34  1.270    1.000   5.05   4.43   4.20  
 0.150  3076.   -0.79  3.31  1.412    1.000   4.76   4.10   3.88  
 0.170  3139.   -0.67  3.28  1.565    1.000   4.48   3.78   3.57  
 0.200  3220.   -0.54  3.26  1.728    1.000   4.19   3.44   3.24  
 0.300  3460.   -0.20  3.23  2.203    1.000   3.47   2.62   2.43  
 0.400  3670.   -0.05  3.30  2.338    1.000   3.20   2.32   2.14  
 0.500  3848.    0.07  3.36  2.444    1.000   2.95   2.10   1.92  
 0.600  3987.    0.16  3.41  2.524    1.000   2.77   1.96   1.79  
 0.700  4110.    0.26  3.43  2.657    1.000   2.55   1.79   1.63  
 0.800  4221.    0.35  3.44  2.805    1.000   2.35   1.62   1.48  
 0.900  4315.    0.43  3.45  2.944    1.000   2.17   1.48   1.34  
 1.000  4397.    0.50  3.46  3.079    1.000   2.01   1.35   1.22  
 1.100  4471.    0.57  3.47  3.209    1.000   1.87   1.23   1.10  
 1.200  4537.    0.63  3.47  3.344    1.000   1.73   1.12   1.00  
 1.300  4596.    0.68  3.47  3.469    1.000   1.61   1.02   0.90  
 1.400  4647.    0.74  3.47  3.601    1.000   1.50   0.92   0.80  
-----------------------------------------------------------------------------------------------
t (Gyr) = 0.0010
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2345.   -2.70  3.57  0.271    1.000   9.35   8.79   8.38  
 0.015  2504.   -2.42  3.59  0.326    1.000   8.69   8.16   7.77  
 0.020  2598.   -2.25  3.60  0.372    1.000   8.26   7.73   7.37  
 0.030  2710.   -1.98  3.58  0.467    1.000   7.61   7.08   6.74  
 0.040  2779.   -1.81  3.58  0.536    1.000   7.21   6.68   6.36  
 0.050  2824.   -1.65  3.54  0.628    1.000   6.81   6.27   5.97  
 0.060  2864.   -1.53  3.52  0.702    1.000   6.52   5.97   5.68  
 0.070  2897.   -1.41  3.50  0.781    1.000   6.24   5.69   5.42  
 0.072  2896.   -1.39  3.49  0.803    1.000   6.19   5.63   5.36  
 0.075  2897.   -1.36  3.48  0.829    1.000   6.11   5.56   5.29  
 0.080  2898.   -1.31  3.45  0.877    1.000   5.99   5.43   5.16  
 0.090  2908.   -1.23  3.43  0.959    1.000   5.78   5.22   4.95  
 0.100  2936.   -1.17  3.44  1.002    1.000   5.65   5.08   4.82  
 0.110  2955.   -1.10  3.41  1.079    1.000   5.47   4.88   4.63  
 0.130  3012.   -0.96  3.38  1.214    1.000   5.15   4.53   4.30  
 0.150  3078.   -0.85  3.37  1.327    1.000   4.89   4.24   4.02  
 0.170  3142.   -0.73  3.34  1.465    1.000   4.62   3.93   3.71  
 0.200  3226.   -0.66  3.38  1.503    1.000   4.49   3.76   3.56  
 0.300  3428.   -0.48  3.49  1.636    1.000   4.13   3.34   3.14  
 0.400  3634.   -0.32  3.55  1.753    1.000   3.83   2.99   2.80  
 0.500  3802.   -0.18  3.59  1.870    1.000   3.56   2.72   2.54  
 0.600  3955.   -0.07  3.63  1.971    1.000   3.32   2.51   2.35  
 0.700  4078.    0.04  3.64  2.096    1.000   3.09   2.31   2.16  
 0.800  4192.    0.13  3.66  2.200    1.000   2.89   2.16   2.01  
 0.900  4290.    0.21  3.66  2.310    1.000   2.71   2.01   1.87  
 1.000  4377.    0.28  3.67  2.416    1.000   2.55   1.88   1.75  
 1.100  4456.    0.35  3.68  2.520    1.000   2.40   1.76   1.63  
 1.200  4529.    0.41  3.68  2.612    0.999   2.27   1.65   1.53  
 1.300  4596.    0.47  3.69  2.710    0.998   2.15   1.55   1.43  
 1.400  4658.    0.52  3.69  2.797    0.998   2.04   1.46   1.35  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   0.0020
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2236.   -2.96  3.75  0.220    1.000  10.02   9.43   8.99  
 0.015  2452.   -2.65  3.78  0.262    1.000   9.25   8.71   8.32  
 0.020  2571.   -2.46  3.79  0.298    1.000   8.79   8.25   7.88  
 0.030  2707.   -2.14  3.74  0.387    1.000   8.03   7.49   7.16  
 0.040  2784.   -1.90  3.68  0.481    1.000   7.45   6.91   6.59  
 0.050  2829.   -1.72  3.62  0.574    1.000   7.00   6.46   6.16  
 0.060  2867.   -1.58  3.57  0.661    1.000   6.64   6.10   5.81  
 0.070  2902.   -1.45  3.54  0.743    1.000   6.35   5.79   5.52  
 0.072  2907.   -1.43  3.53  0.761    1.000   6.29   5.73   5.46  
 0.075  2914.   -1.40  3.52  0.785    1.000   6.21   5.65   5.38  
 0.080  2924.   -1.35  3.51  0.827    1.000   6.09   5.52   5.26  
 0.090  2934.   -1.26  3.48  0.904    1.000   5.88   5.31   5.05  
 0.100  2972.   -1.26  3.54  0.890    1.000   5.87   5.29   5.04  
 0.110  2996.   -1.21  3.55  0.922    1.000   5.76   5.17   4.93  
 0.130  3034.   -1.15  3.59  0.959    1.000   5.64   5.04   4.80  
 0.150  3076.   -1.10  3.62  0.990    1.000   5.54   4.92   4.68  
 0.170  3126.   -1.02  3.62  1.060    1.000   5.34   4.70   4.47  
 0.200  3202.   -0.96  3.67  1.077    1.000   5.23   4.57   4.34  
 0.300  3428.   -0.72  3.73  1.238    1.000   4.73   3.99   3.78  
 0.400  3606.   -0.55  3.77  1.363    1.000   4.39   3.59   3.40  
 0.500  3763.   -0.41  3.80  1.476    1.000   4.09   3.28   3.10  
 0.600  3906.   -0.29  3.83  1.562    1.000   3.86   3.06   2.89  
 0.700  4033.   -0.18  3.84  1.659    0.999   3.63   2.85   2.69  
 0.800  4153.   -0.09  3.86  1.748    0.996   3.42   2.67   2.52  
 0.900  4259.   -0.00  3.87  1.833    0.986   3.23   2.52   2.38  
 1.000  4350.    0.07  3.87  1.917    0.973   3.07   2.39   2.25  
 1.100  4432.    0.14  3.88  1.995    0.969   2.92   2.27   2.14  
 1.200  4508.    0.20  3.88  2.072    0.972   2.79   2.16   2.04  
 1.300  4581.    0.26  3.89  2.148    0.977   2.66   2.06   1.94  
 1.400  4653.    0.32  3.89  2.220    0.983   2.54   1.96   1.84  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   0.0030
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2142.   -3.13  3.85  0.198    1.000  10.46   9.81   9.36  
 0.015  2406.   -2.79  3.88  0.232    1.000   9.59   9.04   8.64  
 0.020  2545.   -2.57  3.89  0.267    1.000   9.07   8.52   8.16  
 0.030  2706.   -2.17  3.77  0.373    1.000   8.11   7.57   7.24  
 0.040  2784.   -1.92  3.69  0.470    1.000   7.49   6.95   6.64  
 0.050  2831.   -1.74  3.64  0.559    1.000   7.06   6.51   6.21  
 0.060  2870.   -1.61  3.61  0.634    1.000   6.74   6.19   5.90  
 0.070  2906.   -1.51  3.60  0.695    1.000   6.49   5.93   5.66  
 0.072  2911.   -1.49  3.59  0.710    1.000   6.44   5.88   5.61  
 0.075  2919.   -1.46  3.59  0.727    1.000   6.38   5.82   5.55  
 0.080  2931.   -1.42  3.58  0.758    1.000   6.27   5.71   5.44  
 0.090  2956.   -1.36  3.59  0.794    1.000   6.14   5.57   5.31  
 0.100  2998.   -1.44  3.74  0.710    1.000   6.33   5.75   5.50  
 0.110  3016.   -1.39  3.75  0.736    1.000   6.24   5.65   5.40  
 0.130  3052.   -1.32  3.76  0.783    1.000   6.07   5.47   5.22  
 0.150  3088.   -1.25  3.78  0.827    1.000   5.92   5.31   5.07  
 0.170  3127.   -1.18  3.78  0.882    1.000   5.74   5.12   4.88  
 0.200  3196.   -1.10  3.81  0.917    1.000   5.59   4.95   4.71  
 0.300  3404.   -0.86  3.86  1.067    1.000   5.08   4.37   4.15  
 0.400  3582.   -0.68  3.89  1.186    1.000   4.70   3.94   3.74  
 0.500  3731.   -0.54  3.91  1.292    1.000   4.40   3.62   3.43  
 0.600  3868.   -0.42  3.94  1.374    0.996   4.16   3.37   3.20  
 0.700  3998.   -0.31  3.96  1.458    0.978   3.93   3.15   2.99  
 0.800  4120.   -0.21  3.97  1.535    0.918   3.72   2.97   2.82  
 0.900  4232.   -0.13  3.98  1.604    0.873   3.54   2.82   2.68  
 1.000  4330.   -0.05  3.99  1.674    0.875   3.38   2.69   2.55  
 1.100  4421.    0.02  3.99  1.747    0.899   3.22   2.56   2.43  
 1.200  4505.    0.09  4.00  1.817    0.925   3.07   2.44   2.32  
 1.300  4588.    0.15  4.00  1.887    0.947   2.93   2.33   2.21  
 1.400  4671.    0.22  4.00  1.967    0.965   2.79   2.22   2.10  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   0.0040
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2053.   -3.27  3.91  0.184    1.000  10.87  10.15   9.65  
 0.015  2362.   -2.89  3.95  0.215    1.000   9.82   9.25   8.86  
 0.020  2535.   -2.61  3.92  0.257    1.000   9.17   8.62   8.25  
 0.030  2705.   -2.19  3.78  0.367    1.000   8.14   7.60   7.27  
 0.040  2785.   -1.95  3.72  0.457    1.000   7.55   7.02   6.70  
 0.050  2834.   -1.78  3.68  0.534    1.000   7.15   6.61   6.31  
 0.060  2875.   -1.68  3.69  0.582    1.000   6.92   6.37   6.08  
 0.070  2914.   -1.64  3.73  0.595    1.000   6.82   6.26   5.99  
 0.072  2921.   -1.63  3.74  0.601    1.000   6.79   6.23   5.96  
 0.075  2931.   -1.61  3.75  0.606    1.000   6.76   6.20   5.93  
 0.080  2946.   -1.58  3.75  0.625    1.000   6.68   6.11   5.84  
 0.090  2976.   -1.53  3.77  0.647    1.000   6.56   5.99   5.73  
 0.100  3013.   -1.55  3.86  0.614    1.000   6.64   6.06   5.80  
 0.110  3035.   -1.51  3.87  0.639    1.000   6.53   5.95   5.69  
 0.130  3075.   -1.42  3.88  0.688    1.000   6.34   5.74   5.49  
 0.150  3113.   -1.35  3.89  0.729    1.000   6.17   5.57   5.32  
 0.170  3145.   -1.27  3.88  0.782    1.000   5.99   5.37   5.13  
 0.200  3206.   -1.19  3.91  0.822    1.000   5.82   5.18   4.95  
 0.300  3389.   -0.95  3.94  0.969    1.000   5.30   4.61   4.39  
 0.400  3560.   -0.78  3.97  1.078    1.000   4.93   4.19   3.98  
 0.500  3704.   -0.63  4.00  1.173    0.995   4.63   3.86   3.66  
 0.600  3842.   -0.51  4.02  1.258    0.966   4.37   3.59   3.41  
 0.700  3976.   -0.40  4.03  1.334    0.836   4.14   3.37   3.20  
 0.800  4096.   -0.30  4.05  1.400    0.712   3.94   3.18   3.03  
 0.900  4212.   -0.22  4.06  1.465    0.718   3.75   3.03   2.88  
 1.000  4315.   -0.14  4.07  1.527    0.761   3.59   2.89   2.76  
 1.100  4417.   -0.06  4.07  1.601    0.826   3.41   2.75   2.62  
 1.200  4513.    0.02  4.07  1.669    0.879   3.25   2.62   2.50  
 1.300  4609.    0.09  4.07  1.740    0.922   3.09   2.50   2.38  
 1.400  4710.    0.16  4.07  1.815    0.952   2.94   2.37   2.26  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   0.0050
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  1961.   -3.39  3.95  0.176    1.000  11.27  10.45   9.89  
 0.015  2330.   -2.96  3.99  0.204    1.000   9.99   9.41   9.01  
 0.020  2531.   -2.62  3.93  0.254    1.000   9.20   8.65   8.28  
 0.030  2705.   -2.20  3.80  0.362    1.000   8.18   7.64   7.30  
 0.040  2785.   -1.98  3.75  0.440    1.000   7.64   7.10   6.78  
 0.050  2841.   -1.85  3.76  0.489    1.000   7.34   6.79   6.49  
 0.060  2890.   -1.81  3.82  0.496    1.000   7.25   6.70   6.41  
 0.070  2928.   -1.76  3.87  0.511    1.000   7.14   6.58   6.30  
 0.072  2934.   -1.75  3.87  0.518    1.000   7.10   6.54   6.26  
 0.075  2944.   -1.73  3.87  0.525    1.000   7.06   6.50   6.22  
 0.080  2959.   -1.69  3.87  0.541    1.000   6.97   6.41   6.14  
 0.090  2992.   -1.64  3.89  0.566    1.000   6.84   6.27   6.00  
 0.100  3027.   -1.63  3.95  0.554    1.000   6.85   6.27   6.01  
